xxxx;;;;;;;;;;;;;;x
UNITY_IS_ATLEAST_TRIGGER;国家凝聚力至少 $VALUE$。\n;L'unit?est au moins ?$VALUE$。\n;Zusammenhalt steht bei mindestens $VALUE$。\n;;La unidad est?al menos a $VALUE$。\n;;;;;;;;;x
AMOUNT_OF_DIVISIONS_IS_ATLEAST_TRIGGER;$COUNTRY$ 至少有 $VALUE$个师。\n;Le nombre de divisions de $COUNTRY$ est au moins de $VALUE$。\n;Anzahl der Divisionen in $COUNTRY$ steht bei mindestens $VALUE$。\n;;El n鷐ero de divisiones de $COUNTRY$ es al menos $VALUE$。\n;;;;;;;;;x
IDEOLOGY_IS_EQUAL_TO_TRIGGER;执政党是 $NAME$。\n;L'id閛logie de $COUNTRY$ 閝uivaut ?celle de $NAME$。\n;Ideologie in $COUNTRY$ ist 鋛uivalent mit $NAME$。\n;;La ideolog韆 de $COUNTRY$ es igual a la de $NAME$。\n;;;;;;;;;x
MINISTER_ALIVE_TRIGGER;$NAME$ 依然可用。\n;$NAME$ est vivant。\n;$NAME$ lebt。\n;;$NAME$ est?con vida。\n;;;;;;;;;x
MONEY_IS_ATLEAST_TRIGGER;现金数目至少有 $VALUE$。\n;Il y a au moins $VALUE$ d'argent。\n;Geld steht bei mindestens $VALUE$。\n;;El dinero es un m韓imo de $VALUE$。\n;;;;;;;;;x
THREAT_IS_ATLEAST_WITH_TRIGGER;$COUNTRY$ 与 $TARGET_COUNTRY$ 的条约至少还有 $VALUE$。\n;La menace de $COUNTRY$ ?l'encontre de $TARGET_COUNTRY$ est d'au moins $VALUE$。\n;Die Bedrohung von $TARGET_COUNTRY$ durch $COUNTRY$ steht bei mindestens $VALUE$。\n;;La amenaza de $COUNTRY$ a $TARGET_COUNTRY$ es al menos de $VALUE$。\n;;;;;;;;;x
ENERGY_IS_ATLEAST_TRIGGER;能源至少有 $VALUE$。\n;Il y a au moins $VALUE$ d'閚ergie。\n;Energie steht bei mindestens $VALUE$。\n;;La energ韆 est?al menos a $VALUE$。\n;;;;;;;;;x
CRUDE_OIL_IS_ATLEAST_TRIGGER;原油至少有 $VALUE$。\n;Il y a au moins $VALUE$ de p閠role brut。\n;Roh鰈 steht bei mindestens $VALUE$。\n;;El crudo est?al menos a $VALUE$。\n;;;;;;;;;x
RARE_MATERIALS_IS_ATLEAST_TRIGGER;稀有原料至少有 $VALUE$。\n;Il y a au moins $VALUE$ de mat閞iaux rares。\n;Seltene Materialien steht bei mindestens $VALUE$。\n;;los materiales raros est醤 al menos a $VALUE$。\n;;;;;;;;;x
METAL_IS_ATLEAST_TRIGGER;金属至少有 $VALUE$。\n;Il y a au moins $VALUE$ de m閠aux。\n;Metalle steht bei mindestens $VALUE$。\n;;El metal est?al menos a $VALUE$。\n;;;;;;;;;x
SUPPLIES_IS_ATLEAST_TRIGGER;补给品至少有$VALUE$。\n;Il y a au moins $VALUE$ de ravitaillement。\n;Nachschub steht bei mindestens $VALUE$。\n;;Los suministros est醤 al menos a $VALUE$。\n;;;;;;;;;x
MILITARY_ACCESS_WITH_TRIGGER;$COUNTRY$ 拥有 $TARGET_COUNTRY$的通行权。\n;$COUNTRY$ dispose d'un acc鑣 militaire au pays : $TARGET_COUNTRY$。\n;$COUNTRY$ hat Milit鋜zugang zu $TARGET_COUNTRY$。\n;;$COUNTRY$ tiene acceso militar a $TARGET_COUNTRY$。\n;;;;;;;;;x
NON_AGGRESSION_PACT_WITH_TRIGGER;$COUNTRY$ 和 $TARGET_COUNTRY$之间有互不侵犯条约。\n;$COUNTRY$ a sign?un pacte de non agression avec $TARGET_COUNTRY$。\n;$COUNTRY$ hat Nichtangriffspakt mit $TARGET_COUNTRY$。\n;;$COUNTRY$ tiene un pacto de no agresi髇 con $TARGET_COUNTRY$。\n;;;;;;;;;x
LOST_NATIONAL_PROVINCES_ATLEAST_TRIGGER;$COUNTRY$ 至少失去了 $VALUE$% 个国家省份。\n;$COUNTRY$ a perdu au moins $VALUE$% provinces nationales 。\n;$COUNTRY$ verloren mindestens $VALUE$% Provinzen 。\n;;$COUNTRY$ ha perdido $VALUE$% provincias nacionales 。\n;;;;;;;;;x
LOST_IC_IS_ATLEAST_TRIGGER;$COUNTRY$ 至少失去了 $VALUE$% IC 。\n;$COUNTRY$ a perdu au moins $VALUE$% en CI 。\n;$COUNTRY$ verloren mindestens $VALUE$% IC 。\n;;$COUNTRY$ ha perdido $VALUE$% CI 。\n;;;;;;;;;x
GOVERNMENT_POSITION_TRIGGER;$NAME$ 是 $POSITION$。\n;$NAME$ est $POSITION$。\n;$NAME$ ist $POSITION$。\n;;$NAME$ es $POSITION$。\n;;;;;;;;;x
GOVERNMENT_POSITION_NOT_TRIGGER;$NAME$ 不是 $POSITION$。\n;$NAME$ n'est pas $POSITION$。\n;$NAME$ ist nicht $POSITION$。\n;;$NAME$ no es $POSITION$。\n;;;;;;;;;x
