xxxx;;;;;;;;;;;;;;x
LEDGER_PRE;上一个;Pr閏閐ent;Zur點k;Wstecz;Anterior;Indietro;El鮶?P鴈dchoz?;;;;;x;
LEDGER_NEXT;下一个;Suivant;Weiter;Dalej;Siguiente;Avanti;K鰒etkez?Dal氻;;;;;;x
LEDGER_CLOSE;关闭;Fermer;Schlie遝n;Zamknij ;Cerrar;Chiudere;Bez醨醩;Zavt;;;;;;x
LEDGER_COUNTRY;国家;Pays;Land;;Pa韘;;;;;;;;;x
LEDGER_FACTION;阵营;Faction;Fraktion;;Facci髇;;;;;;;;;x
LEDGER_VP;胜利点;PV;SP;;PV;;;;;;;;;x
LEDGER_OFFMAP_VP;额外胜利点;PV hors de la carte;SP au遝rhalb der Karte;;PV fuera del mapa;;;;;;;;;x
LEDGER_TOTAL_VP;胜利点总计;PV totaux;SP gesamt;;PV totales;;;;;;;;;x
LEDGER_VALUE;胜利点;Points de victoire;Siegespunkte;;Puntos de victoria;;;;;;;;;x
LEDGER_CONTROLLER;控制者;Contr鬺eur;Kontrolle;;En poder de;;;;;;;;;x
LEDGER_NEUTRAL;中立;Neutre;Neutral;;Neutrales;;;;;;;;;x
LEDGER_TOTAL;总计;Total;Gesamt;;Total;;;;;;;;;x
LEDGER_ALLARMIES_TITLE;同盟陆军对比;Comparaison de l'arm閑 alli閑;Vergleich Alliierte Armeen;;Comparaci髇 ej閞cito aliado;;;;;;;;;x
LEDGER_ALLNAVIES_TITLE;同盟海军对比;Comparaison de la marine alli閑;Vergleich Alliierte Seestreitkr.;;Comparaci髇 marina aliada;;;;;;;;;x
LEDGER_ALLAIR_TITLE;同盟空军对比;Comparaison de l'arm閑 de l'air alli閑;Vergleich Alliierte Luftwaffen;;Comparaci髇 fuerza a閞ea aliado;;;;;;;;;x
LEDGER_TERRITORIAL_TITLE;控制省份;Provinces contr鬺閑s;Kontrollierte Provinzen;;Provincias controladas;;;;;;;;;x
LEDGER_PROVINCE;省份;Province;Provinz;;Provincia;;;;;;;;;x
LEDGER_ENERGY;能源;蒼ergie;Energie;;Energ韆;;;;;;;;;x
LEDGER_METAL;金属;M閠aux;Metalle;;Metal;;;;;;;;;x
LEDGER_RARE;稀有原料;Mat閞iaux rares;Seltene Mat.;;Mat. rara;;;;;;;;;x
LEDGER_OIL;原油;P閠role;謑;;Petr髄eo;;;;;;;;;x
LEDGER_MP;人力;Main-d'渦vre;Mannst鋜ke;;Rec. hum.;;;;;;;;;x
LEDGER_LEADER;领导力;Leadership;F黨rung;;Liderazgo;;;;;;;;;x
LEDGER_BUILDING_TITLE;建筑;B鈚iments;Geb鋟de;;Edificios;;;;;;;;;x
ELEDGER_RESOURCE_FLOW;资源;Flux de ressources;Ressourcenfluss;;Flujo de recursos;;;;;;;;;x
LEDGER_CATEGORY;分类;Cat間orie;Kategorie;;Categor韆;;;;;;;;;x
LEDGER_HOME_PRODUCED;国内生产;Produit localement;Eigenproduktion;;Producci髇 en patria;;;;;;;;;x
LEDGER_CONVOYED_IN;护航舰队输入;Import?par convoi;Per Konvoi herein;;Entrada por convoyes;;;;;;;;;x
LEDGER_CONVOYED_OUT;护航舰队输出;Export?par convoi;Per Konvoi hinaus;;Salida por convoyes;;;;;;;;;x
LEDGER_REPAID_DEBT;偿还债务;Dette rembours閑;Getilgte Schulden;;Deuda pagada;;;;;;;;;x
LEDGER_INCOMING_DEBT;负债收入;Converti en;Konvertiert zu;;Convertido a;;;;;;;;;x
LEDGER_CONVERTED_FROM;转化消耗;Converti ?partir de;Konvertiert von;;Convertido de;;;;;;;;;x
LEDGER_PUPPET_FROM;来自傀儡国;Provenant d'閠ats fantoches;Von Marionetten;;De t韙eres;;;;;;;;;x
