xxxx;;;;;;;;;;;;;;x
REMOVE_MINISTER_EFFECT;$NAME$ 将被移出内阁。\n;$NAME$ sera destitu椐W.\n;$NAME$ wird entfernt.\n;;$NAME$ desaparecer岌W.\n;;;;;;;;;x
ADD_UNITY_EFFECT;获得 $VALUE$ 国家凝聚力。\n;Gain de $VALUE$ unit閟.\n;Erlangt $VALUE$ an Zusammenhalt.\n;;Gana $VALUE$ unidad.\n ;;;;;;;;;x
REMOVE_UNITY_EFFECT;失去 $VALUE$ 国家凝聚力。\n;Perte de $VALUE$ unit閟.\n;Bt t$VALUE$ an Zusammenhalt ein.\n;;Pierde $VALUE$ unidad.\n;;;;;;;;;x
ADD_MANPOWER_EFFECT;获得 $VALUE$ 人力。\n;Gain de $VALUE$ en main d'渦vre.\n;Erh鋖t $VALUE$ an Mannst鋜ke.\n;;Gana $VALUE$ recursos humanos.\n;;;;;;;;;x
REMOVE_MANPOWER_EFFECT;失去 $VALUE$ 人力。\n;Perte de $VALUE$ en main d'渦vre.\n;Bt $VALUE$ an Mannst鋜ke ein.\n;;Pierde $VALUE$ recursos humanos.\n;;;;;;;;;x
ADD_CRUDE_OIL_EFFECT;获得 $VALUE$ 原油。\n;Gain de $VALUE$ en p閠role brut.\n;Erlangt $VALUE$ an Roh鰈 .\n;;Gana $VALUE$ crudo.\n;;;;;;;;;x
REMOVE_CRUDE_OIL_EFFECT;失去 $VALUE$ 原油。\n;Perte de $VALUE$ en p閠role brut.\n;Bt $VALUE$ an Roh鰈 ein.\n;;Pierde $VALUE$ crudo.\n;;;;;;;;;x
ADD_METAL_EFFECT;获得 $VALUE$ 金属。\n;Gain de $VALUE$ en m閠aux.\n;Erlangt $VALUE$ an Metallen.\n;;Gana $VALUE$ metal.\n;;;;;;;;;x
REMOVE_METAL_EFFECT;失去 $VALUE$ 金属。\n;Perte de $VALUE$ en m閠aux.\n;Bt $VALUE$ an Metallen ein.\n;;Pierde $VALUE$ metal.\n;;;;;;;;;x
ADD_ENERGY_EFFECT;获得 $VALUE$ 能源。\n;Gain de $VALUE$ en 閚ergie.\n;Erlangt $VALUE$ an Energie.\n;;Gana $VALUE$ energ韆.\n;;;;;;;;;x
REMOVE_ENERGY_EFFECT;失去 $VALUE$ 能源。\n;Perte de $VALUE$ en 閚ergie.\n;Bt $VALUE$ an Energie ein.\n;;Pierde $VALUE$ energ韆.\n;;;;;;;;;x
ADD_RARE_MATERIALS_EFFECT;获得 $VALUE$ 稀有原料。\n;Gain de $VALUE$ en mat閞iaux rares.\n;Erlangt $VALUE$ an seltenen Materialien.\n;;Gana $VALUE$ materiales raros.\n;;;;;;;;;x
REMOVE_RARE_MATERIALS_EFFECT;失去 $VALUE$ 稀有原料。\n;Perte de $VALUE$ en mat閞iaux rares.\n;Bt $VALUE$ an seltenen Materialien ein.\n;;Pierde $VALUE$ materiales raros.\n;;;;;;;;;x
ADD_SUPPLIES_EFFECT;获得 $VALUE$ 补给。\n;Gain de $VALUE$ en ravitaillement.\n;Erlangt $VALUE$ an Nachschub.\n;;Gana $VALUE$ suministros.\n;;;;;;;;;x
REMOVE_SUPPLIES_EFFECT;失去 $VALUE$ 补给。\n;Perte de $VALUE$ en ravitaillement.\n;Bt $VALUE$ an Nachschub ein.\n;;Pierde $VALUE$ suministros.\n;;;;;;;;;x
ADD_MONEY_EFFECT;获得 $VALUE$ 金钱。\n;Gain de $VALUE$ en argent.\n;Erlangt $VALUE$ an Geld .\n;;Gana $VALUE$ dinero.\n;;;;;;;;;x
REMOVE_MONEY_EFFECT;失去 $VALUE$ 金钱。\n;Perte de $VALUE$ en argent.\n;Bt $VALUE$ an Geld ein.\n;;Pierde $VALUE$ dinero.\n;;;;;;;;;x
START_GUARANTEE_EFFECT;$COUNTRY$ 开始向 $TARGET_COUNTRY$ 提供独立保障。\n;$COUNTRY$ commencera ?se porter garant pour $TARGET_COUNTRY$.\n;$COUNTRY$ gibt Garantie f黵 $TARGET_COUNTRY$.\n;;$COUNTRY$ empezar?a garantizar a $TARGET_COUNTRY$.\n;;;;;;;;;x
