xxxx;;;;;;;;;;;;;;x
EVTNAME2704;ÃÉ¹Å¹úµÄÀ©ÕÅ ;;Expansion von Megkukuo;;Expansión de Mengkukuo;;;;;;;;;x
EVTDESC2704;ÕâĞ©Ê¡·İÏÖÔÚÊôÓÚÃÉ¹Å¹ú ;;Diese Provinzen gehören nun zu Megkukuo;;Estas provincias pertenecen ahora a Mengkukuo.;;;;;;;;;x
expand_mengkukuo_title;ÃÉ¹Å¹úµÄÀ©ÕÅ ;;Die Expansion von Megkukuo;;La expansión de Mengkukuo;;;;;;;;;x
expand_mengkukuo_desc;¸ü¶àÃÉ¹Å¹úĞû³ÆµÄÍÁµØÂäÈëÁËÎÒÃÇÊÖÖĞ£¬ÎÒÃÇÓ¦µ±½«ÕâĞ©µØ\n·½ÄÉÈëÃÉ¹Å¹ú²¢°´ÕÕÎÒÃÇµÄÒâÖ¾À´Í³ÖÎËüÃÇ¡£ ;;Mehr Land, das von Megkukuo beansprucht wird, ist uns in die Hände gefallen, wir sollten es in Megkukuo integrierren damit sie es in unserem Namen regieren.;;Nos hemos apoderado de más tierras reclamadas por Mengkukuo. Hemos de incorporarlas a este territorio para que puedan gobernarlas bajo nuestra supervisión.;;;;;;;;;x
MODIFIER_LOCAL_RESOURCES;±¾µØ×ÊÔ´ ;;Lokale Ressourcen;;Recursos locales;;;;;;;;;x
POL_MOBILIZE_DRO_V3;ÒªÍêÈ«¶¯Ô±Ô¤±¸ÒÛÎÒÃÇĞèÒª §Y$MP$§W ÈËÁ¦¡£ ;;Um unsere Reserven komplett zu mobilisieren benötigen wir §Y$MP$§W Männer.;;Para movilizar completamente nuestras reservas necesitamos §Y$MP$§W de recursos humanos.;;;;;;;;;x,,,
PORT_SHIPS;Õâ¸ö¸Û¿ÚÃ¿Ìì¿ÉÒÔÊäÈë §Y$SIZE$§W µ¥Î»µÄ²¹¸øºÍÈ¼ÁÏ¡£ ;;Der Hafen hier kann täglich §Y$SIZE$§W Einheiten Nachschub und Treibstoff aufnehmen.;;El puerto local puede enviar §Y$SIZE$§W unidades de suministros y combustibles cada día.;;;;;;;;;x,,,
THE_DATE_IS_BEFORE;ÔçÓÚ §Y$DATE$§\n;Ceci est antérieur §Y$DATE$§\n;Es ist vor §Y$DATE$§\n;;Es antes de §Y$DATE$§\n;;;;;;;;;x,,,
THE_DATE_IS_AFTER;ÍíÓÚ §Y$DATE$§\n ;C'est au moins §Y$DATE$§\n;Es ist zumindest §Y$DATE$§\n;;Es al menos §Y$DATE$§\n ;;;;;;;;;x,,,
EVTNAME2902;¹â¸´·¨¹ú ;;Die Wiedererrichtung Frankreichs;;La restauración de Francia;;;;;;;;;x
EVTDESC2902;Í¨¹ıÊÕ¸´°ÍÀè£¬´÷¸ßÀÖÖ¤Ã÷ÁËËûÑ¡Ôñ³ÖĞø¶·ÕùµÄÕıÈ·²¢»Ö¸´\nÁË·¨À¼Î÷µÄÈÙÓş¡£Î¬Ï£Ö¤È¯ÒÑ¾­ÍêÈ«É¥Ê§ÁËÉùÍû£¬ÏÖÔÚ×ÔÓÉ\n·¨¹úÔË¶¯ÒÑ¾­³ÉÎªÁË·¨¹úÈËÃñÎ¨Ò»¡¢ÕıÍ³²¢ºÏ·¨µÄÉùÒô¡£Î¬\nÏ£ÕşÈ¨²»µÃ²»Í¶½µ²¢½«ËüÃÇµÄÈ¨Á¦ÒÆ½»¸ø´÷¸ßÀÖ¡£ ;;Mit der Rückeroberung von Paris hat De Gaulle sein Versprechen wahrgemacht als er gesagt hat dass er den Kampf fortsetzen und die Ehre Frankreichs wiederherstellen wolle. Das Vichy-Regime wurde komplett diskreditiert und die freifranzösische Bewegung ist die einzig wahre, legitime Stimme des französischen Volkes. Das Vichy-Regime hat das Unvermeidbare akzeptiert und ihre Authorität an De Gaulle abgeben. ;;Al recuperar París, De Gaulle ha reivindicado su decisión de continuar la lucha y restaurar el honor de Francia. El régimen de Vichy ha quedado completamente desacreditado y ahora el movimiento de la Francia libre es la única voz legítima del pueblo francés. El régimen de Vichy ha aceptado lo inevitable y ha rendido su autoridad a De Gaulle. ;;;;;;;;;x
EVTOPTA2902;·¨À¼Î÷ÍòËê ;;Vive la France;;Vive la France;;;;;;;;;x
mengkukuo_region;ÃÉ¹Å¹ú ;;Mengkukuo;;Mengkukuo;;;;;;;;;x
independent_mengkukuo_title;ÃÉ¹Å¹ú³ÉÁ¢ ;;Die Errichtung Mengkukuos;;La formación de Mengkukuo;;;;;;;;;x
independent_mengkukuo_desc;¹Ø¶«¾üË¾Áî²¿ÓëÄÚÃÉ¹ÅµÄÒ»Ğ©ÒªÈË±£³Ö×ÅÁªÏµ¡£Í¨¹ıÕâĞ©ÀÖ\nÒâµÄºÏ×÷ÕßÎÒÃÇ¿ÉÒÔÔÚÕâÀï³ÉÁ¢Ò»¸öÕşÈ¨´Ó¶ø±£Ö¤´ËµØÔÚÎÒ\nÃÇÕ÷·ş±ğ´¦Ê±µÄ°²Äş¡£ ;;Das Oberkommando der Kwangtung-Armee hat mit mehreren wichtigen Persönlichkeiten in der inneren Mongolei gute Beziehungen gepflegt. Mit der Hilfe dieser willigen Kollaborateure können wir ein Regime einrichten, dass diese Gebiete ruhig halten wird, während wir andere Gebiete erobern.;;El mando del ejército de Kwangtung se ha mantenido en contacto con importantes personajes de la Mongolia Interior. A través de estos voluntariosos colaboracionistas podemos organizar un régimen que mantendrá la zona tranquila mientras realizamos conquistas en otra parte.;;;;;;;;;x
EVTNAME5040;¾­¼Ã¸ÄÉÆ ;;Wirtschaftlicher Aufschwung;;Auge económico;;;;;;;;;x
EVTDESC5040;ÓÉÓÚÉú²úÁ¦µÄÌá¸ßÎÒÃÇµÄ¹¤³§ÏÖÔÚÉú²úÁË¸ü¶àµÄ²úÆ·£¬µ«ÎÒ\nÃÇ²¢²»È·¶¨ÕâÖÖ×´¿öÄÜ³ÖĞø¶à¾Ã¡£ ;;Aufgrund einer Steigerung der Produktivität produzieren unsere Fabriken derzeit mehr Güter, jedoch sind wir nicht sicher wie lange das anhalten wird.;;Gracias a un aumento de productividad en nuestras fábricas ahora disponemos de más mercancías, aunque no sabemos durante cuánto tiempo se podrá mantener esta situación.;;;;;;;;;x
EVTOPTA5040;Õ½»ğÎŞÇé ;;Härter, nicht klüger kämpfen;;Guerread con más ímpetu, no con más inteligencia.;;;;;;;;;x
EVTNAME5041;Ö¾Ô¸ÕßÔö¼Ó ;;Freiwilligenwelle;;Auge de voluntarios;;;;;;;;;x
EVTDESC5041;´óÅúÓÂ¸ÒµÄĞ¡»ï×ÓÕ¾³öÀ´ËµËûÃÇÒÑ¾­×¼±¸ºÃÎª×æ¹ú¶øÕ½¡£ ;;Die tapferen Männer stehen auf und bekünden, dass sie bereit sind für unser Land zu kämpfen;;Los hombres en edad de servicio se han alzado y están listos para luchar por nuestro país. ;;;;;;;;;x
