##################################################;;;;;;;;;;;X
# Leader Ranks;;;;;;;;;;;X
##################################################;;;;;;;;;;;X
INACTIVE;(非活动的);;;;;;;;;;X
LAND_RANK1;陆军少将 ;;;;;;;;;;X
LAND_RANK2;陆军中将 ;;;;;;;;;;X
LAND_RANK3;陆军上将 ;;;;;;;;;;X
LAND_RANK4;陆军元帅 ;;;;;;;;;;X
SEA_RANK1;海军中校 ;;;;;;;;;;X
SEA_RANK2;海军少将 ;;;;;;;;;;X
SEA_RANK3;海军中将 ;;;;;;;;;;X
SEA_RANK4;海军上将 ;;;;;;;;;;X
AIR_RANK1;空军少将 ;;;;;;;;;;X
AIR_RANK2;空军中将 ;;;;;;;;;;X
AIR_RANK3;空军上将 ;;;;;;;;;;X
AIR_RANK4;空军元帅 ;;;;;;;;;;X
LEADER_SKILL;技能 ;;;;;;;;;;X
LEADER_XP;经验 ;;;;;;;;;;X
######################################;;;;;;;;;;;X
# Trait Names;;;;;;;;;;;X
######################################;;;;;;;;;;;X
old_guard;保守派 ;;;;;;;;;;X
trickster;奇袭专家 ;;;;;;;;;;X
logistics_wizard;后勤专家 ;;;;;;;;;;X
defensive_doctrine;防御专家 ;;;;;;;;;;X
offensive_doctrine;进攻专家 ;;;;;;;;;;X
winter_specialist;冬季专家;;;;;;;;;;X
engineer;工程专家 ;;;;;;;;;;X
fortress_buster;攻坚专家 ;;;;;;;;;;X
commando;特战专家 ;;;;;;;;;;X
desert_fox;沙漠之狐 ;;;;;;;;;;X
jungle_expert;丛林之鼠 ;;;;;;;;;;X
urban_fighter;城市之鹰 ;;;;;;;;;;X
forest_fighter;森林之虎 ;;;;;;;;;;X
mountain_expert;山地之猿 ;;;;;;;;;;X
hills_fighter;丘陵之狼 ;;;;;;;;;;X
seawolf;海狼专家 ;;;;;;;;;;X
blockade_runner;封锁专家 ;;;;;;;;;;X
superior_tactician;高级战术专家 ;;;;;;;;;;X
spotter;侦查专家 ;;;;;;;;;;X
tank_buster;坦克猎杀专家 ;;;;;;;;;;X
carpet_bomber;地毯轰炸专家 ;;;;;;;;;;X
night_flyer;夜航专家 ;;;;;;;;;;X
fleet_destroyer;舰队破坏专家 ;;;;;;;;;;X
##################################################;;;;;;;;;;;X
# Unit Names;;;;;;;;;;;X
##################################################;;;;;;;;;;;X
infantry_brigade;步兵;;;;;;;;;;X
artillery_brigade;炮兵;;;;;;;;;;X
battleship;战列舰;;;;;;;;;;X
armored_car_brigade;装甲车;;;;;;;;;;X
anti_tank_brigade;反坦克炮;;;;;;;;;;X
flying_bomb;飞弹;;;;;;;;;;X
armor_brigade;装甲;;;;;;;;;;X
anti_air_brigade;防空炮;;;;;;;;;;X
bergsjaeger_brigade;山地步兵;;;;;;;;;;X
carrier;航空母舰;;;;;;;;;;X
cag;舰载机;;;;;;;;;;X
cas;近距离空中支援战斗机;;;;;;;;;;X
destroyer;驱逐舰;;;;;;;;;;X
escort_carrier;护航航母;;;;;;;;;;X
cavalry_brigade;骑兵;;;;;;;;;;X
engineer_brigade;工程兵;;;;;;;;;;X
battlecruiser;战列巡洋舰;;;;;;;;;;X
flying_rocket;导弹;;;;;;;;;;X
hq_brigade;指挥部;;;;;;;;;;X
heavy_cruiser;重巡洋舰;;;;;;;;;;X
light_armor_brigade;轻装甲;;;;;;;;;;X
mechanized_brigade;机械化步兵;;;;;;;;;;X
motorized_brigade;摩托化步兵;;;;;;;;;;X
militia_brigade;民兵;;;;;;;;;;X
multi_role;战斗机;;;;;;;;;;X
light_cruiser;轻巡洋舰;;;;;;;;;;X
interceptor;截击机;;;;;;;;;;X
rocket_interceptor;喷气式截击机;;;;;;;;;;X
heavy_armor_brigade;重装甲;;;;;;;;;;X
garrison_brigade;卫戍部队;;;;;;;;;;X
naval_bomber;鱼雷轰炸机;;;;;;;;;;X
nuclear_submarine;核潜艇;;;;;;;;;;X
police_brigade;宪兵部队;;;;;;;;;;X
paratrooper_brigade;伞兵部队;;;;;;;;;;X
rocket_artillery_brigade;火箭炮兵;;;;;;;;;;X
sp_rct_artillery_brigade;自行火箭炮兵;;;;;;;;;;X
submarine;潜艇;;;;;;;;;;X
super_heavy_armor_brigade;超重装甲;;;;;;;;;;X
super_heavy_battleship;超重战列舰;;;;;;;;;;X
tactical_bomber;轰炸机;;;;;;;;;;X
tank_destroyer_brigade;自行反坦克炮兵;;;;;;;;;;X
transport_ship;运输船;;;;;;;;;;X
strategic_bomber;战略轰炸机;;;;;;;;;;X
sp_artillery_brigade;自行火炮兵;;;;;;;;;;X
transport_plane;运输机;;;;;;;;;;X
marine_brigade;海军陆战部队;;;;;;;;;;X
marine_brigade_short;海战;;;;;;;;;;X
infantry_brigade_short;步兵;;;;;;;;;;X
artillery_brigade_short;炮兵;;;;;;;;;;X
battleship_short;战列;;;;;;;;;;X
armored_car_brigade_short;装甲车;;;;;;;;;;X
anti_tank_brigade_short;反坦;;;;;;;;;;X
flying_bomb_short;飞弹;;;;;;;;;;X
armor_brigade_short;装甲;;;;;;;;;;X
anti_air_brigade_short;防空;;;;;;;;;;X
bergsjaeger_brigade_short;山地;;;;;;;;;;X
carrier_short;航母;;;;;;;;;;X
cag_short;舰载机;;;;;;;;;;X
cas_short;近支战机;;;;;;;;;;X
destroyer_short;驱逐;;;;;;;;;;X
escort_carrier_short;轻型航母;;;;;;;;;;X
cavalry_brigade_short;骑兵;;;;;;;;;;X
engineer_brigade_short;工兵;;;;;;;;;;X
battlecruiser_short;战巡;;;;;;;;;;X
flying_rocket_short;导弹;;;;;;;;;;X
hq_brigade_short;指挥部;;;;;;;;;;X
heavy_cruiser_short;重巡;;;;;;;;;;X
light_armor_brigade_short;轻装甲;;;;;;;;;;X
mechanized_brigade_short;机步;;;;;;;;;;X
motorized_brigade_short;摩步;;;;;;;;;;X
