xxxx;;;;;;;;;;;;;;x
YES;拥有;Oui;Ja;;S?;;;;;;;;x,
NO;无;Non;Nein;;No;;;;;;;;;x,
MODIFIER_NAVAL_CAPACITY;海军基地容量;Capacit?de la base navale;Flottenst悫zpunkt-Kapazit酹;;Capacidad de base naval;;;;;;;;;x,
MODIFIER_AIR_CAPACITY;空军基地容量;Capacit?de la base a廨ienne;Luftwaffenst悫zpunkt-Kapazit酹;;Capacidad de base a廨ea;;;;;;;;;x,
MODIFIER_ALIGN_TOWARDS;外交影响;Aligner vers;Ausrichten nach;;Alinear hacia;;;;;;;;;x,
MODIFIER_RADAR_LEVEL;雷达站等级;Niveau radar;Radarstufe;;Nivel de radar;;;;;;;;;x,
INTEL_NONE;没有情报(0);Aucun rens;Keine Aufkl酺ung;;Sin inteligencia;;;;;;;;;x,
INTEL_STRUCTURES;基本情报(1);Rens 幨?;Einfache Aufkl酺ung;;Inteligencia b嫳ica;;;;;;;;;x,
INTEL_UNITS;基本情报，未知兵力的师(2);Rens 幨?, divisions dont la puissance est inconnue;Einfache Aufkl酺ung, Divisionen unbekannter St酺ke;;Int. b嫳ica, divisiones de fuerza desconocida;;;;;;;;;x
INTEL_2;情报等级2;Rens niv. 2;Aufkl酺ungsstufe 2;;Nivel Int. 2;;;;;;;;;x,
INTEL_3;情报等级3;Rens niv. 3;Aufkl酺ungsstufe 3;;Nivel Int. 3;;;;;;;;;x,
INTEL_4;情报等级4;Rens niv. 4;Aufkl酺ungsstufe 4;;Nivel Int. 4;;;;;;;;;x,
INTEL_5;情报等级5;Rens niv. 5;Aufkl酺ungsstufe 5;;Nivel Int. 5;;;;;;;;;x,
INTEL_6;情报等级6;Rens niv. 6;Aufkl酺ungsstufe 6;;Nivel Int. 6;;;;;;;;;x,
INTEL_7;情报等级7;Rens niv. 7;Aufkl酺ungsstufe 7;;Nivel Int. 7;;;;;;;;;x,
MAX_INTEL_LEVEL;全部情报(9);Rens complets;Volle Aufkl酺ung;;Int. completa;;;;;;;;;x,
April;四月 ;Avril;April;Kwiecie?Abril;Aprile;联rilis;Duben;;;;;;x
August;八月 ;Ao婿;August;Sierpie?Agosto;Agosto;Augusztus;Srpen;;;;;;x
December;十二月 ;D嶰embre;Dezember;Grudzie?Diciembre;Dicembre;December;Prosinec;;;;;;x
February;二月 ;F憝rier;Februar;Luty;Febrero;Febbraio;Febru嫫;猋or;;;;;;x
Friday;星期五 ;Vendredi;Freitag;Pt;Viernes;Venerd?P幯tek;P嫢ek;;;;;;x
January;一月 ;Janvier;Januar;Stycze?Enero;Gennaio;Janu嫫;Leden;;;;;;x
July;七月 ;Juillet;Juli;Lipiec;Julio;Luglio;J莞ius;пrvenec;;;;;;x
June;六月 ;Juin;Juni;Czerwiec;Junio;Giugno;Jius;пrven;;;;;;x
March;三月 ;Mars;M酺z;Marzec;Marzo;Marzo;M嫫cius;B鹔zen;;;;;;x
May;五月 ;Mai;Mai;Maj;Mayo;Maggio;M奫us;Kv鮅en;;;;;;x
Monday;星期一 ;Lundi;Montag;Pn;Lunes;Luned?H彋f?Pond骴?;;;;;x
November;十一月 ;Novembre;November;Listopad;Noviembre;Novembre;November;Listopad;;;;;;x
October;十月 ;Octobre;Oktober;Pa兜ziernik;Octubre;Ottobre;Okt鏏er;崼jen;;;;;;x
