xxxx;;;;;;;;;;;;;;x
MINISTER_MESSAGE_ENTRY;$TITLE$ $NAME$;$TITLE$ $NAME$;$TITLE$ $NAME$;;$TITLE$ $NAME$;;;;;;;;;X
#;;;;;;;;;;;;;;x
MINISTER_DEATH_SETUP;当一名部长死亡;Lorsqu'un ministre meurt.;Wenn ein Minister stirbt.;;Cuando un ministro muere.;;;;;;;;;x
MINISTER_DEATH_HEADER;死亡;Mort;Tod;;Muerte;;;;;;;;;x
MINISTER_DEATH_1;$NAME$;$NAME$ est mort.;$NAME$;;$NAME$;;;;;;;;;x
MINISTER_DEATH_2;死了. $NAME$永远离开我们的内阁了。;est mort. $NAME$ ne peut plus faire partie de notre cabinet.;ist gestorben. Wir k鰊nen $NAME$ nicht l鋘ger als Kabinettmitglied einsetzen.;;ha muerto. Ya no tenemos la posibilidad de que $NAME$ forme parte de nuestro gabinete.;;;;;;;;;x
MINISTER_DEATH_3;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_4;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_5;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_6;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_LOG;$MINISTERNAME$死了。;$MINISTERNAME$ est mort.;$MINISTERNAME$ ist gestorben.;;$MINISTERNAME$ ha muerto.;;;;;;;;;x
MINISTER_DEATH_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_DEATH_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_DEATH_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
MINISTER_DEATH_MAP;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_SETUP;当任命一位新部长;Lorsqu'un nouveau ministre est nomm?Wenn ein neuer Minister eingesetzt wird;;Cuando se elige un nuevo ministro;;;;;;;;;x
MINISTER_APPOINTED_HEADER;一位新部长;Le nouveau ministre;Ein neuer Minister,;;Un nuevo ministro;;;;;;;;;x
MINISTER_APPOINTED_1;$MINISTERNAME$;$MINISTERNAME$;$MINISTERNAME$,;;$MINISTERNAME$;;;;;;;;;x
MINISTER_APPOINTED_2;被任命为$POSITION$;a 閠?nomm?au poste de $POSITION$.;wurde als $POSITION$ eingesetzt;;ha sido elegido para ocupar el cargo de $POSITION$;;;;;;;;;x
MINISTER_APPOINTED_3;$PERSONALITY_DESC$;*;$PERSONALITY_DESC$;;$PERSONALITY_DESC$;;;;;;;;;x
MINISTER_APPOINTED_4;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_5;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_6;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_LOG;$MINISTERNAME$被任命为$POSITION$.;$MINISTERNAME$ a 閠?d閟ign?comme $POSITION$.;$MINISTERNAME$ wurde als $POSITION$ eingesetzt.;;$MINISTERNAME$ ha sido elegido como $POSITION$.;;;;;;;;;x
MINISTER_APPOINTED_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_APPOINTED_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_APPOINTED_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
MINISTER_APPOINTED_MAP;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_SETUP;当大选进行;Lorsque des 閘ections ont lieu.;Wenn eine Wahl abgehalten wird;;Cuando se celebren elecciones;;;;;;;;;x
ELECTIONRESULTS_HEADER;$ELECTION_YEAR$年大选;蒷ections de $ELECTION_YEAR$;Wahl $ELECTION_YEAR$;;Elecciones $ELECTION_YEAR$;;;;;;;;;x
ELECTIONRESULTS_1;$WINNING_PARTY$;$WINNING_PARTY$;$WINNING_PARTY$;;$WINNING_PARTY$;;;;;;;;;x
ELECTIONRESULTS_2;赢得大选;a gagn?les 閘ections;Gewann die Wahl;;Gan?las elecciones;;;;;;;;;x
ELECTIONRESULTS_3;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_4;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_5;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_6;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_LOG;$WINNING_PARTY$赢得了$ELECTION_YEAR$年大选。;Le $WINNING_PARTY$ a remport?les 閘ections de $ELECTION_YEAR$.;$WINNING_PARTY$ gewann die Wahl von $ELECTION_YEAR$.;;$WINNING_PARTY$ gan?las elecciones de $ELECTION_YEAR$.;;;;;;;;;x
ELECTIONRESULTS_BTN1;好的;OK;OK;;Aceptar;;;;;;;;;x
ELECTIONRESULTS_BTN2;好的;OK;OK;;Aceptar;;;;;;;;;x
ELECTIONRESULTS_BTN3;详情;D閠ails;Details;;Detalles;;;;;;;;;x
ELECTIONRESULTS_MAP;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHEROPTION_SETUP;当一个多选项的历史事件在他国发生;Lorsqu'un 関閚ement historique ?choix multiple se produit dans un autre pays.;Wenn sich in einem anderen Land ein historisches Ereignis mit mehreren Auswahlm鰃lichkeiten ereignet.;Kiedy w innym pa駍twie ma miejsce zdarzenie historyczne;Cuando a otro pa韘 le ocurra un suceso hist髍ico con m鷏tiples opciones.;Quando un evento storico a scelta multipla si verifica in un altro paese.;Mikor egy t鰎t閚elmi esem閚y t鯾b lehet鮯間et k韓醠 egy m醩ik nemzetnek;Kdy?v jin?zemi dojde k historick?ud醠osti s v韈e volbami.;;;;;;x
EVENTHAPPENOTHEROPTION_HEADER;$foreign_minister$报告;$foreign_minister$ a r閐ig?un rapport concernant :;;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENOTHEROPTION_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
EVENTHAPPENOTHEROPTION_2;他们表示在;Ils nous ont parl?de;Sie erz鋒len uns 黚er das Ereignis;informuje nas o wydarzeniu:;Nos informan de los eventos de;Ci parlano dei seguenti eventi:;A k鰒etkez?esem閚yekr鮨 sz醡olt be:;Sd靗uj?n醡 informace o ud醠ostech;;;;;;x
