xxxx;;;;;;;;;;;;;;x
national_socialist_AFG;°¢¸»º¹¹ú¼ÒÖ÷Òåµ³;Parti nationaliste afghan;Nationalistische Partei Afghanistans;;Partido Nacionalista Afgano;;;;;;;;;;x
fascistic_AFG;°¢¸»º¹·¨Î÷Ë¹Ö÷ÒåÁªÃË;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;;x
paternal_autocrat_AFG;¹úÃñ¸ïÃüµ³;Parti national révolutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;;x
social_conservative_AFG;°¢¸»º¹±£ÊØµ³;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;;x
market_liberal_AFG;°¢¸»º¹×ÔÓÉµ³;Parti libéral afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;;x
social_liberal_AFG;°¢¸»º¹Éç»á×ÔÓÉµ³;NCPA;NCPA;;NCPA;;;;;;;;;;x
social_democrat_AFG;°¢¸»º¹Éç»áÃñÖ÷µ³;Parti social démocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdemócrata Afgano;;;;;;;;;;x
left_wing_radical_AFG;×óÒí¼¤½øÅÉ;RGPA;RGPA;;RGPA;;;;;;;;;;x
leninist_AFG;ÁĞÄşÖ÷ÒåÕß;PDPA;PDPA;;PDPA;;;;;;;;;;x
stalinist_AFG;°¢¸»º¹¹²²úµ³;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganistán;;;;;;;;;;x
national_socialist_ALB;¹ú¼ÒÉç»áÖ÷Òå;PNSh;PNSh;;PNSh;;;;;;;;;;x
fascistic_ALB;·¨Î÷Ë¹Ö÷Òå;PFSh;PFSh;;PFSh;;;;;;;;;;x
paternal_autocrat_ALB;¶À²ÃÍ³ÖÎ;PMSh;PMSh;;PMSh;;;;;;;;;;x
social_conservative_ALB;Éç»á±£ÊØÖ÷Òå;PBKSh;PBKSh;;PBKSh;;;;;;;;;;x
market_liberal_ALB;Ã³Ò××ÔÓÉÖ÷Òå;PRSh;PRSh;;PRSh;;;;;;;;;;x
social_liberal_ALB;Éç»á×ÔÓÉÖ÷Òå;PDSh;PDSh;;PDSh;;;;;;;;;;x
social_democrat_ALB;Éç»áÃñÖ÷Ö÷Òå;PSSh;PSSh;;PSSh;;;;;;;;;;x
left_wing_radical_ALB;×óÒí¼¤½øÖ÷Òå;PLPSh;PLPSh;;PLPSh;;;;;;;;;;x
leninist_ALB;ÁĞÄşÖ÷Òå;PKSh;PKSh;;PKSh;;;;;;;;;;x
stalinist_ALB;Ë¹´óÁÖÖ÷Òå;PPSh;PPSh;;PPSh;;;;;;;;;;x
national_socialist_ARG;Éç»áÖ÷ÒåĞĞ¶¯µ³;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_ARG;°¢¸ùÍ¢ÕıÒåÕóÏß;Frente Justicialista;Frente Justicialista;;Frente Justicialista;;;;;;;;;;x
paternal_autocrat_ARG;°¢¸ùÍ¢ÕıÒåµ³;Partido Justicialista;Partido Justicialista,;;Partido Justicialista,;;;;;;;;;;x
social_conservative_ARG;°¢¸ùÍ¢Éç»á±£ÊØµ³;Partido Demócrata Cristiano;Partido Demócrata Cristiano;;Partido Demócrata Cristiano;;;;;;;;;;x
market_liberal_ARG;Ã³Ò××ÔÓÉÅÉ;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_liberal_ARG;Éç»á×ÔÓÉµ³;Frente para la Victoria;Frente para la Victoria;;Frente para la Victoria;;;;;;;;;;x
social_democrat_ARG;Éç»áÃñÖ÷µ³;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_ARG;°¢¸ùÍ¢¼¤½ø¹«ÃñÁªÃË;Unión Cívica Radical;Unión Cívica Radical;;Unión Cívica Radical;;;;;;;;;;x
leninist_ARG;ÁĞÄşÖ÷Òå;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x
stalinist_ARG;Ë¹´óÁÖÖ÷Òå;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;x
national_socialist_AUS;¹ú¼ÒÉç»áÖ÷Òå;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x
fascistic_AUS;·¨Î÷Ë¹Ö÷Òå;VF;VF;;VF;;;;;;;;;;x
paternal_autocrat_AUS;¶À²ÃÍ³ÖÎ;GDVP;GDVP;;GDVP;;;;;;;;;;x
social_conservative_AUS;Éç»á±£ÊØÖ÷Òå;CSP;CSP;;CSP;;;;;;;;;;x
market_liberal_AUS;Ã³Ò××ÔÓÉÖ÷Òå;Landbund;Landbund;;Landbund;;;;;;;;;;x
social_liberal_AUS;Éç»á×ÔÓÉÖ÷Òå;ÖSLP;ÖSLP;;ÖSLP;;;;;;;;;;x
social_democrat_AUS;Éç»áÃñÖ÷µ³;SDAPÖ;;;;;;;;;;x
left_wing_radical_AUS;×óÒí¼¤½øÖ÷Òå;Schutzbund;Schutzbund;;Schutzbund;;;;;;;;;;x
leninist_AUS;ÁĞÄşÖ÷Òå;MLPÖ;;;;;;;;;;x
stalinist_AUS;Ë¹´óÁÖÖ÷Òå;KPDÖ;;KPDÖ;;;;;;;;;;x
national_socialist_BEL;¹ú¼ÒÉç»áÖ÷ÒåÁªÃË;Verdinaso;Verdinaso;;Verdinaso;;;;;;;;;;x
fascistic_BEL;·¨Î÷Ë¹Ö÷Òå;Rex;Rex;;Rex;;;;;;;;;;x
paternal_autocrat_BEL;¶À²ÃÍ³ÖÎ;VNV;VNV;;VNV;;;;;;;;;;x
social_conservative_BEL;Éç»á±£ÊØµ³;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;;Katholieke Unie-Union Catholique;;;;;;;;;;x
