xxxx;;;;;;;;;;;;;;x
EVTNAME1210;慕尼黑协定 ;;;;;;;;;;;;;;;;x
EVTDESC1210;希特勒提出捷克斯洛伐克的德语区应当加入第三帝国。同时宣传在此之后他不会再有任何领土野心。 ;;;;;;;;;;;;;;;;x
EVTOPTA1210;“我们这个时代的和平!” ;;;;;;;;;;;;;;;;x
EVTOPTB1210;我们反对这个提议! ;;;;;;;;;;;;;;;;x
EVTNAME1211;法兰西将会战斗! ;;;;;;;;;;;;;;;;x
EVTDESC1211;当英国人决定拒绝慕尼黑协定后，法国领导者感到他们终于有了后盾来反对德国的野心。 ;;;;;;;;;;;;;;;;x
EVTOPTA1211;法兰西与盟友站在一起! ;;;;;;;;;;;;;;;;x
EVTNAME2604;斯坦利·鲍德温辞职 ;;;;;;;;;;;;;;;;x
EVTDESC2604;成功地解决了退位危机后，年老的首相斯坦利·鲍德温认为是时候退休了。在大众民主时代三次担任首相的他决定了英国20年代及30年代的政策。1937年他已经接近70岁，觉得是时候让更年轻的人接任了。 ;;;;;;;;;;;;;;;;x
EVTOPTA2604;去上议院 ;;;;;;;;;;;;;;;;x
EVTNAME2605;挪威辩论 ;;;;;;;;;;;;;;;;x
EVTDESC2605;对政府的不信任动议案表决结果为281票反对、200票支持。\n张伯伦曾在下议院获得多数，但41个保守党议员投票反对他们的政府同时有60个人弃权，这明白地显示出张伯伦的支持度已经摇摇欲坠。海军元帅罗杰·凯斯爵士投票反对政府的事件对保守党支持者的士气带来了完全的打击。只有一位新的首相才能得到下议院的支持。现在只有丘吉尔或哈利法克斯能领导这个国家，但哈利法克斯是一位贵族从而在领导政府时可能导致一些问题。张伯伦召集了哈利法克斯、丘吉尔和政府组织秘书大卫马杰森。张伯伦问，谁将是国王认可的下一任首相？ ;;;;;;;;;;;;;;;;x
EVTOPTA2605;哈利法克斯发言 ;;;;;;;;;;;;;;;;x
EVTOPTB2605;丘吉尔发言 ;;;;;;;;;;;;;;;;x
EVTNAME2606;国王召唤丘吉尔 ;;;;;;;;;;;;;;;;x
EVTDESC2606;“我不相信这样可能有效地从上议院领导政府”，这是哈利法克斯的回应。哈利法克斯提出了问题的核心，战争是一件极为花钱的事务，而现在的收支对一位首相从上议院管理政府来说极为困难。张伯伦辞职后并没能让自己看好的候选人继任，而是向国王举荐了丘吉尔。丘吉尔来到下议院告诉议员们：“若问我们的政策是什么？我的回答是：作战。” ;;;;;;;;;;;;;;;;x
EVTOPTA2606;温斯顿回来了 ;;;;;;;;;;;;;;;;x
EVTNAME2607;国王召唤哈利法克斯 ;;;;;;;;;;;;;;;;x
EVTDESC2607;“我不相信这样可能有效地从上议院领导政府”，这是丘吉尔的回应。然而，丘吉尔高估了自己的手腕，在这个国家需要凝聚力的时刻太有野心是不被接受的。马杰森离开了会谈并开始了议员之间的秘密私语。丘吉尔完全不可信任。张伯伦向国王举荐了哈利法克斯，哈利法克斯来到下议院告诉议员们：“尊敬的先生们，你们问我，我们的政策是什么？我的回答是：为了维护不列颠的利益。” ;;;;;;;;;;;;;;;;x
EVTOPTA2607;哈利法克斯任职;;;;;;;;;;;;;;;;x
UW_LOAD_PLANE_FAIL_LOW_ORG;我们的伞兵组织度太低。他们至少需要恢复到最大组织度的95%。 ;;;;;;;;;;;;;;;;x
