xxxx;;;;;;;;;;;;;;x
LEDGER_STOCKPILE;·µ»Ø²Ö¿â;Renvoyé(es) en réserve;Wieder in Lager gebracht;;Devuelta a la reserva;;;;;;;;;x
RES_SHIPPED_BACK;$VAL$·µ»ØÁË²Ö¿â¡£\n;$VAL$ renvoyé(es) en réserve.\n;$VAL$ wieder in Lager gebracht.\n;;$VAL$ devueltas a la reserva.\n;;;;;;;;;x
alert_national_decisions_instant;§Y¹ú¼Ò¾öÒé¿ÉÓÃ§W;§YNational Decisions Available§W;§YNationale Entscheidungen verfügbar§W;;§YHay decisiones nacionales disponibles§W;;;;;;;;;x
alert_national_decisions_delayed;ÈçÏÂ¾öÒéÏÖÔÚ¿ÉÓÃ£º\n$LIST$;The following decisions are available:\n$LIST$;Die folgenden Entscheidungen sind verfügbar:\n$LIST$;;Están disponibles las siguientes decisiones:\n$LIST$;;;;;;;;;x
SUPPORT_ATTACK_DESC;Ö§Ô®¹¥»÷ÔÊĞíÒ»¸öµ¥Î»ÔÚ²»½øÈë¸ÃÊ¡·İµÄÇé¿öÏÂÖ§Ô®¶ÔÄ¿±êµÄ½ø¹¥¡£;Une attaque de soutien permet à une unité de participer à l'attaque d'une cible, sans se déplacer dans la province concernée.;Ein Unterstützungsangriff ermöglicht es einer Einheit, beim Angriff auf ein Ziel zu helfen, ohne sich in die entsprechende Provinz zu begeben.;;El ataque de apoyo permite a una unidad participar en el ataque contra una provincia sin desplazarse a ella;;;;;;;;;x
EVTNAME2602;Ó¢ÍõÇÇÖÎÎåÊÀÖ®ËÀ;The Death of King George V;Der Tod von König George V;;La muerte del Rey George V;;;;;;;;;x
EVTDESC2602;Ó¢ÍõÇÇÖÎÎåÊÀÓÚ1936ÄêÒ»ÔÂ20ÈÕÈ¥ÊÀ¡£ÇÇÖÎÊÇÒ»Î»ÔÚÕşÖÎ¼°\nÉç»á¾­¼Ã·½Ãæ±íÏÖ»îÔ¾µÄ¹úÍõ¡£°®¶ûÀ¼×ÔÓÉ°îÔÚËûµÄÍ³ÖÎÏÂ\n³ÉÁ¢(1922)£¬²¢ÇÒÔÚ1926Äê´ó°Õ¹¤ÖĞ°çÑİÁËµ÷Í£ÕßµÄ½ÇÉ«¡£\nËûÔÚÎ»Ê±ÆÚ°ä²¼µÄ×îÎªÖØÒªµÄ·¨ÂÉÒ²ĞíÓ¦¸ÃÊÇÍşË¹ÃôË¹ÌØ·¨\n°¸(1931)£¬ÕâÊ¹×ÔÖÎÁìµÄÒé»á¿ÉÒÔ²»¾­Â×¶Ø»Ê¼ÒµÄÍ¬Òâ¶øÍ¨\n¹ı×Ô¼ºµÄ·¨ÂÉ¡£Ó¢Áª°îÒÀÈ»Î¬ÏµÔÚÒ»ÆğĞ§ÖÒÓÚ»ÊÊÒ¡£ÇÇÖÎÎå\nÊÀµÄ¼Ì³ĞÈËÊÇËûµÄ¶ù×Ó°®µÂ»ª°ËÊÀ¡£;King George V of the United Kingdom passed away on January 20, 1936. King George was an active king on both the political and social-economic fronts. The Irish Free State was set up under his rule (1922) and he played a conciliatory role during the 1926 General Strike. Perhaps the most noteworthy legislation enacted under his reign was the Statute of Westminster (1931) which made it possible for Dominion parliaments to pass their own laws without royal assent from London. The Commonwealth remained linked through common allegiance to the Crown. King George V was succeeded by his son, Edward VIII.;König George V des vereinigten Königreiches starb am 20. Januar 1936. Er war sowohl an der politischen als auch an der sozialökonomischen Front aktiv. Der freie irische Staat wurde 1922 unter seiner Herrschaft errichtet und er nahm eine vermittelnde Rolle im Generalstreik von 1926 ein. Das vielleicht bemerkenswerteste Gesetz, das unter seiner Herrschaft verabschiedet wurde, war das Statut von Westminster (1931), das es den Parlamenten der Dominions ermöglichte, ihre eigenen Gesetze ohne Zustimmung aus London zu verabschieden. Durch die gemeinsame Treue zur Krone blieb das Commonwealth jedoch weiterhin verbunden. König George V gab den Thron an seinen Sohn, Edward VIII. weiter.;;George V, Rey del Reino Unido falleció el 20 de Enero de 1936. Fue un monarca activo tanto en política como en temas socioeconómicos. El Estado Libre Irlandés se creó durante su reinado (1922) y jugó un papel conciliador durante la Huelga General de 1926. Quizás la ley más notable de cuantas aprobó durante su reinado fue el Estatuto de Westmister (1931), que permitió que los parlamentos de los Dominios pudieran aprobar sus propias leyes sin necesidad de ser aprobados por el Rey en Londres. La Commonwealth continuó unida por la común lealtad a la Corona Británica. George V fue sucedido por su hijo, Edward VIII.;;;;;;;;;x
EVTOPTA2602;ºÃµÄ;OK;OK;;OK;;;;;;;;;x
constitutional_monarchy;¾ıÖ÷Á¢ÏÜÖÆ;Monarchie constitutionnelle;Konstitutionelle Monarchie;;Monarquía constitucional;;;;;;;;;x
constitutional_monarchy_ruler;¹úÍõ;King;König;;Rey;;;;;;;;;x
