xxxx;;;;;;;;;;;;;;x
MESSAGE_HEAD_GOV;安全部长报告;Le ministre de la s閏urit?rapporte que;Der Minister f黵 innere Sicherheit meldet;;El Ministro de Seguridad informa;;;;;;;x;;,,,,,,
MESSAGE_HEAD_MARS;总参谋部报告;L'閠at-major rapporte que;Der Generalstab meldet;;El General del Estado Mayor informa;;;;;;;x;;,,,,,,
MESSAGE_HEAD_CHAN;外交部门报告;Le minist鑢e des Affaires 閠rang鑢es rapporte que;Der Au遝nministerium meldet;;El Ministerio de Asuntos Exteriores informa;;;;;;;x;;,,,,,,
MESS_BADWORDS1;这帮蠢货;les idiots;die Narren;;los necios;;;;;;;;;x,,,,,,
MESS_BADWORDS2;这帮叛徒;les tra顃res;die Verr鋞er;;esos traidores;;;;;;;;;x,,,,,,
MESS_BADWORDS3;这帮战争贩子;les bellig閞ants;die Kriegstreiber;;los belicistas;;;;;;;;;x,,,,,,
MESS_BADWORDS4;这帮废物;Les imb閏iles;die Idioten;;los imb閏iles;;;;;;;;;x,,,,,,
DECLWAR_GUARACANCELNTEE;你不能对你已保障独立的国家宣战;Vous ne pouvez pas d閏larer la guerre ?une nation pour laquelle vous vous portez garant;Sie k鰊nen keiner Nation den Krieg erkl鋜en, der Sie Garantien gew鋒rt haben;;No puedes declarar la guerra a una naci髇 que garantizas;;;;;;;x;;,,,,,,
DECLWAR_SETUP;当他国对你宣战;Quand une nation vous d閏lare la guerre;Wenn Ihnen ein anderes Land den Krieg erkl鋜t;Kiedy inny kraj wypowiada ci wojn?Cuando una naci髇 te declare la guerra;Quando una nazione ti dichiara guerra;Mikor egy nemzet hadat 鼁en nek黱k.;Kdy?v醡 n醨od vyhl醩?v醠ku;;;;;;x,,,,,,
DECLWAR_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x,,,,,,
DECLWAR_1;战争!;D蒀LARATION DE GUERRE !;KRIEG!;WOJNA!;UERRA!;GUERRA!;H罛OR?;V罫KA!;;;;;;x,,,,,,
DECLWAR_2;$MONARCHTITLE$，$BADWORD$;$MONARCHTITLE$, $BADWORD$ dans;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vez閞黱k, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x
DECLWAR_3;$AGRESSOR$竟敢对;$AGRESSOR$ nous ont d閏lar?la;$AGRESSOR$ hat uns den Krieg erkl鋜t!;$AGRESSOR$ wypowiadaj?nam wojn?;$AGRESSOR$ ha declarado la guerra;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat 鼁ent nek黱k!;$AGRESSOR$ vyhl醩il v醠ku;;;;;;x,,,,,,
DECLWAR_4;我们宣战!准备迎战……;guerre ! Pr閜arons-nous au combat...;Bereiten Sie sich auf den Kampf vor ...;Gotujmy si?do bitwy...;contra nosotros! Preparad la batalla...;guerra! Preparati a combattere...;Fel kell k閟z黮n黱k a h醔or鷕a?n醡! P鴌pravte se na boj...;;;;;;x,,,,,,
