xxxx;;;;;;;;;;;;;;x
PATROLTRACK_SETUP;当巡逻队发现舰队时;Lorsqu'une patrouille trouve une flotte;Wenn eine Patrouille eine Flotte findet;;Cuando una patrulla encuentra una flota;;;;;;;;;x,,,,,,
PATROLTRACK_HEADER;$chief_of_navy$报告;Rapports de $chief_of_navy$.;$chief_of_navy$ berichtet:;;$chief_of_navy$ informa.;;;;;;;;;x,,,,,,
PATROLTRACK_1;接触;Contact !;Kontakt!;;ontacto!;;;;;;;;;x,,,,,,
PATROLTRACK_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$, el;;;;;;;;;x,,,,,
PATROLTRACK_3;$OUR_FLEET$;$OUR_FLEET$;$OUR_FLEET$;;$OUR_FLEET$;;;;;;;;;x,,,,,,
PATROLTRACK_4;在以下海域发现另一支舰队;a trouv?une autre flotte dans la province;fand eine andere Flotte in;;ha encontrado a otra flota en;;;;;;;;;x,,,,,,
PATROLTRACK_5;$PROV$;$PROV$;$PROV$;;$PROV$;;;;;;;;;x,,,,,,
PATROLTRACK_6;该舰队属于 $OTHER$。;Cette flotte appartient ?$OTHER$.;Diese Flotte ist aus $OTHER$.;;Esta flota pertenece a $OTHER$.;;;;;;;;;x,,,,,,
PATROLTRACK_LOG;$OUR_FLEET$ 发现 $OTHERS$ 的舰队于 $PROV$。;$OUR_FLEET$ a trouv?une flotte $OTHERS$ dans la province $PROV$.;$OUR_FLEET$ fand eine $OTHERS$ Flotte in $PROV$.;;$OUR_FLEET$ encontr?la flota de $OTHERS$ en $PROV$.;;;;;;;;;x,,,,,,
PATROLTRACK_BTN1;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
PATROLTRACK_BTN2;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
PATROLTRACK_BTN3;查看;Aller ?GOTO;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x,,,,,,
PATROLTRACK_MAP;发现舰队!;;;;;;;;;;;;;,,,,,,
REINFORCE_SETUP;当一个后备舰队被派遣到一个作战单位时;Lorsqu'une flotte de r閟erve envoie une unit?Wenn eine Reserveflotte eine Einheit abstellt;;Cuando una flota de reserva env韆 a una unidad;;;;;;;;;x,,,,,,
REINFORCE_HEADER;$chief_of_navy$报告;Rapports de $chief_of_navy$.;$chief_of_navy$ berichtet:;;$chief_of_navy$ informa de;;;;;;;;;x,,,,,,
REINFORCE_1;派出增援!;Renforts envoy閟 !;Verst鋜kung ist unterwegs!;;efuerzos enviados!;;;;;;;;;x,,,,,,
REINFORCE_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$, ;;$MONARCHTITLE$, el;;;;;;;;;x,,,,,
REINFORCE_3;$RESERVE$;$RESERVE$;$RESERVE$;;$RESERVE$;;;;;;;;;x,,,,,,
REINFORCE_4;已经派遣了船只到达;a envoy?une flotte vers;schickte eine Flotte nach;;ha enviado una flota a;;;;;;;;;x,,,,,,
REINFORCE_5;$TARGET$;$TARGET$;$TARGET$;;$TARGET$;;;;;;;;;x,,,,,,
REINFORCE_6;$RESERVE$ 现在还拥有 $CAP$ 艘主力舰，$SUB$ 潜艇以及 $OTHER$ 其他舰只。;$RESERVE$ dispose maintenant de $CAP$ navires capitaux, de $SUB$ sous-marins et de $OTHER$ navires d'autres types.;$RESERVE$ hat nun $CAP$ Gro遦ampfschiffe, $SUB$ U-Boote und $OTHER$ andere Schiffstypen 黚rig.;;A $RESERVE$ le quedan ahora $CAP$ grandes unidades, $SUB$ submarinos y $OTHER$ de otros tipos de barcos.;;;;;;;;;x,,,,,
REINFORCE_LOG;$RESERVE$ 派遣了一个舰队到达 $TARGET$。;$RESERVE$ a envoy?une flotte vers $TARGET$.;$RESERVE$ schickte eine Flotte nach $TARGET$.;;$RESERVE$ envi?una flota a $TARGET$.;;;;;;;;;x,,,,,,
REINFORCE_BTN1;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
REINFORCE_BTN2;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
REINFORCE_BTN3;查看;Aller ?GOTO;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x,,,,,,
REINFORCE_MAP;补充!;R閟erve !;Reserve!;;eserva!;;;;;;;;;x,,,,,,
REINFORCEAIR_SETUP;当一个后备空军单位被派遣到作战部队时;Lorsqu'une unit?de r閟erve a閞ienne envoie une unit?Wenn eine Reservelufteinheit eine Einheit abstellt;;Cuando una unidad a閞ea de la reserva env韆 una unidad;;;;;;;;;x,,,,,,
REINFORCEAIR_HEADER;$chief_of_air$报告;Rapports de $chief_of_air$.;$chief_of_air$ berichtet:;;$chief_of_air$ nos informa de;;;;;;;;;x,,,,,,
REINFORCEAIR_1;派出增援!;Renforts envoy閟 !;Verst鋜kung ist unterwegs!;;efuerzos enviados!;;;;;;;;;x,,,,,,
REINFORCEAIR_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$, ;;$MONARCHTITLE$, el;;;;;;;;;x,,,,,
REINFORCEAIR_3;$RESERVE$;$RESERVE$;$RESERVE$;;$RESERVE$;;;;;;;;;x,,,,,,
REINFORCEAIR_4;已经派遣空军单位到达;a envoy?une unit?a閞ienne vers;schickte eine Lufteinheit nach;;ha enviado una unidad a閞ea a;;;;;;;;;x,,,,,,
REINFORCEAIR_5;$TARGET$;$TARGET$.;$TARGET$;;$TARGET$;;;;;;;;;x;,,,,,,
REINFORCEAIR_6;$RESERVE$ 现在还拥有 $NUM$ 。;$RESERVE$ dispose maintenant de $NUM$ unit閟.;$RESERVE$ hat nun $NUM$ Einheiten 黚rig.;;A $RESERVE$ le quedan ahora $NUM$ unidades.;;;;;;;;;x;,,,,,,
REINFORCEAIR_LOG;$RESERVE$ 派遣了一个舰队到达 $TARGET$。;$RESERVE$ a envoy?une flotte vers $TARGET$.;$RESERVE$ schickte eine Flotte nach $TARGET$.;;$RESERVE$ envi?una flota a $TARGET$.;;;;;;;;;x;,,,,,,
REINFORCEAIR_BTN1;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;,,,,,,
REINFORCEAIR_BTN2;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;,,,,,,
REINFORCEAIR_BTN3;查看;Aller ?GOTO;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x;,,,,,,
REINFORCEAIR_MAP;补充!;R閟erve !;Reserve!;;eserva!;;;;;;;;;x;,,,,,,
PROVINCELOST_SETUP;当你失去一个省份时;Lorsque vous perdez le contr鬺e d'une province;Wenn Sie die Kontrolle 黚er eine Provinz verlieren.;Kiedy tracisz nieufortyfikowan?prowincj?Cuando pierdes el control de una provincia;Quando perdi una provincia non fortificata;Ha elvesztett閘 egy v閐telen provinci醫;Kdy?ztrat韙e neopevn靚ou provincii;;;;;;x;,,,,,,
PROVINCELOST_HEADER;$minister_of_security$ 报告;$minister_of_security$ signale;$minister_of_security$ berichtet:;;?minister_of_security$ informa de una;;;;;;;;;;x,,,,,,
PROVINCELOST_1;丢失省份!;qu'une province a 閠?perdue !;Provinz verloren!;Prowincja stracona!;provincia perdida!;Provincia persa!;Elvesztett黱k egy provinci醫;Provincie ztracena!;;;;;;x;,,,,,,
PROVINCELOST_2;我们失去了对以下省份的控制权;Nous avons perdu la province;Wir verloren die Provinz;Stracili渕y prowincj?Hemos perdido la provincia de;Abbiamo perso la provincia di;Elvesztett黭;Ztratili jsme provincii;;;;;;x;,,,,,,
PROVINCELOST_3;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;;;;;;x;,,,,,,
PROVINCELOST_4;它现在正被卑劣的;qui est pass閑 aux mains de;an ;na rzecz nikczemnego pa駍twa;ante;con la spregevole nazione di;tartom醤yt, mely most;a z韘kala ji mrzk?zem?;;;;;x;,,,,,
PROVINCELOST_5;$COUNTRY$控制。;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$ kez閞e ker黮t.;$COUNTRY$;;;;;;x;,,,,,,
PROVINCELOST_6;我们必须夺回它!;Nous devons la reconqu閞ir !;Wir m黶sen sie zur點kerobern!;Musimy j?odzyska?;ebemos recuperarla!;Dobbiamo riconquistarla!;Vissza kell szerezn黱k!;Mus韒e ji z韘kat zp醫ky!;;;;;;x;,,,,,,
PROVINCELOST_LOG;我们失去了对 $PROV$ 的控制权，它现在正处于$COUNTRY$的控制中。;Nous avons perdu la province $PROV$ au b閚閒ice du pays $COUNTRY$.;Wir haben $PROV$ an $COUNTRY$ verloren.;Stracili渕y prowincj?$PROV$ na rzecz $COUNTRY$.;Perdimos $PROV$ ante $COUNTRY$.;Abbiamo perso $PROV$ con $COUNTRY$.;$COUNTRY$ kez閞e ker黮t $PROV$ tartom醤yunk.;Ztratili jsme provincii $PROV$ ve prosp靋h zem?$COUNTRY$.;;;;;;x;,,,,,,
PROVINCELOST_BTN1;好的;Ok;Ok;OK;Aceptar;Ok;Ok;Ok;;;;;;x,,,,,,
PROVINCELOST_BTN2;好的;Ok;Ok;OK;Aceptar;Ok;Ok;Ok;;;;;;x,,,,,,
PROVINCELOST_BTN3;查看;Aller ?Goto;Id?do;Ir all?Andare;Menj ide!;P鴈j韙 na;;;;;;x,,,,,,
PROVINCELOST_MAP;丢失省份;Province perdue !;Provinz verloren!;Prowincja stracona!;rovincia perdida!;Provincia persa!;Elveszett egy provincia!;Provincie ztracena!;;;;;;x,,,,,,
UNITARRIVED_SETUP;当我方作战单位抵达它的目的地时;Lorsque l'une de nos unit閟 arrive ?destination;Wenn eine unserer Einheiten ihr Ziel erreicht.;Kiedy jedna z naszych jednostek przybywa na miejsce;Cuando una de nuestras unidades llega a su destino;Quando una delle nostre unit?arriver?a destinazione;Ha az egyik egys間黱k meg閞kezett a c閘ponthoz.;Kdy?jedna z爊a歩ch jednotek doraz?na m韘to ur鑕n?;;;;;x,,,,,,
UNITARRIVED_HEADER;$chief_of_staff$报告;$chief_of_staff$ signale que;$chief_of_staff$ berichtet, dass;;$chief_of_staff$ informa que;;;;;;;;;x,,,,,,
UNITARRIVED_1;$TYPE$ 抵达;$TYPE$ est arriv?e) !;$TYPE$ angekommen!;$TYPE$ przybywa!;?TYPE$ ha llegado!;$TYPE$ arrivato!;$TYPE$ meg閞kezett!;$TYPE$ dorazila!;;;;;;x,,,,,,
UNITARRIVED_2;我方 $TYPE$ :;notre $TYPE$,;unsere $TYPE$ von;nasze $TYPE$ z;nuestro $TYPE$ de;$TYPE$ di;$TYPE$ egys間黱k,;na歟 $TYPE$ jm閚em;;;;;;x,,,,
UNITARRIVED_3;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;;;;;;x,,,,,,
UNITARRIVED_4;已经安全地抵达;est arriv?sans encombre dans la province;sicher angekommen sind in;przybywa (-j? bezpiecznie do;ha llegado a salvo a;?arrivato in sicurezza a;sikeresen meg閞kezett;bezpe鑞?dorazila do;;;;;;x,,,,,,
UNITARRIVED_5;$PROV$;$PROV$.;$PROV$;prowincji $PROV$;$PROV$;$PROV$;$PROV provinci醨a.;$PROV$;;;;;;x,,,,,,
UNITARRIVED_6;他们现在正等待下一步的命令;Ils y attendent de nouveaux ordres.;Sie warten auf weitere Befehle;Oczekuj?na dalsze rozkazy;Est醤 esperando 髍denes adicionales;Attende ulteriori ordini;Tov醔bi parancsainkra v醨nak.;O鑕k醰?dal氻 rozkazy.;;;;;;x,,,,,,
UNITARRIVED_LOG;$NAME$ 到达 $PROV$;$NAME$ est arriv?dans la province $PROV$;$NAME$ ist in $PROV$ angekommen;$NAME$ przyby?do prowincji $PROV$;$NAME$ lleg?a $PROV$;;$NAME$ ?arrivato in $PROV$?arrivato in;$NAME$ dorazil do $PROV$;;;;;;x,,,,,,
UNITARRIVED_BTN1;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
UNITARRIVED_BTN2;好的;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x,,,,,,
UNITARRIVED_BTN3;查看;ALLER ?GOTO;ID?DO;Ir all?ANDARE;Menj ide:;P谽J蚑 NA;;;;;;x,,,,,,
UNITARRIVED_MAP;*;*;*;*;*;*;*;*;;;;;;x,,,,,,
UNIT_ATTACK_INFO_NAVY;共有\n主力舰$CAP$艘，\n辅助舰只$SCR$艘，\n潜艇$SUB$艘以及\n运输船$TRA$艘。;Avec un total de $CAP$ navires capitaux, $SCR$ escortes, $SUB$ sous-marins et $TRA$ transporteurs.;Mit insgesamt $CAP$ Gro遦ampfschiffen, $SCR$ Begleitschiffen, $SUB$ U-Booten & $TRA$ Transportern.;;Con un total de $CAP$ grandes unidades, $SCR$ escoltas, $SUB$ submarinos y $TRA$ transportes.;;;;;;;;;x,,,,
UNIT_ATTACK_INFO_ARMY;共有$UNIT$个师，下辖$BRIG$个旅，\n共计$MEN$可作战士兵。;Avec un total de $BRIG$ brigades organis閑s en $UNIT$ unit閟 pour un effectif de $MEN$ soldats.;Mit $BRIG$ Brigaden, organisiert in $UNIT$ Einheiten, insgesamt $MEN$ kampff鋒ige Soldaten.;;Con un total de $BRIG$ brigadas organizadas en $UNIT$ unidades, con un total de $MEN$ soldados en activo.;;;;;;;;;x,,,,,
UNIT_ATTACK_INFO_AIR;共有\n$FIG$个战斗机师和\n$BOM$个轰炸机师。;Avec un total de $FIG$ chasseurs et $BOM$ bombardiers.;Mit insgesamt $FIG$ J鋑ern und $BOM$ Bombern.;;Con un total de $FIG$ cazas y $BOM$ bombarderos.;;;;;;;;;x,,,,,,
ATTACKTHEM_SETUP;当我方陆军单位开始攻击敌军时;Lorsque l'une de nos unit閟 terrestres attaque l'ennemi.;Wenn eine unserer Landeinheiten den Feind angreift;;Cuando una de nuestras unidades terrestres ataca al enemigo ;;;;;;;;;x,,,,,,
ATTACKTHEM_HEADER;$chief_of_staff$ 报告;$chief_of_staff$ signale que;$chief_of_staff$ berichtet:;;$chief_of_staff$ informa que;;;;;;;;;x,,,,,,
ATTACKTHEM_1;遭遇敌军!;nous avons attaqu?l'ennemi !;Aufeinandertreffen mit dem Feind!;;emos entablado combate con el enemigo!;;;;;;;;;x,,,,,,
ATTACKTHEM_2;$MONARCHTITLE$，我们已经在以下地点开始作战;$MONARCHTITLE$, nous vous informons que la bataille a commenc?dans la province;$MONARCHTITLE$, uns wird gemeldet, dass eine Schlacht begonnen hat in;;$MONARCHTITLE$, nos informan que ha comenzado la batalla en;;;;;;;;;x,,,,,
ATTACKTHEM_3;$PROV$。;$PROV$.;$PROV$.;;$PROV$.;;;;;;;;;x,,,,,,
ATTACKTHEM_4;我们开始攻击 $DEFENDER$ 并试图摧毁他们的防御。我们开始交战 ;Nous sommes les forces d'attaque de $DEFENDER$ et nous tentons de d閜lacer leurs d閒enses. Nous avons engag?le combat avec;Wir greifen $DEFENDER$-Truppen an, die versuchen, ihre Verteidigungsanlagen zu entfernen. Wir befinden uns im Kampf mit;;Atacamos a las fuerzas de $DEFENDER$, en un intento de desbaratar sus defensas. Hemos entablado combate con ;;;;;;;;;x,,,,,,
ATTACKTHEM_5;*;*;$ATTUNIT$\nattackiert\n$DEFUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x,,,,,,
ATTACKTHEM_6;*;*;*;;*;;;;;;;;;x,,,,,,
ATTACKTHEM_LOG;我们开始攻击位于$PROV$处的敌军。;Nous avons attaqu?l'ennemi dans la province $PROV$.;Wir haben den Feind in $PROV$ angegriffen.;;Hemos atacado al enemigo en $PROV$.;;;;;;;;;x,,,,,,
ATTACKTHEM_BTN1;好的;OK;OK;;OK;;;;;;;;;x,,,,,,
ATTACKTHEM_BTN2;好的;OK;OK;;OK;;;;;;;;;x,,,,,,
ATTACKTHEM_BTN3;查看;Aller ?Goto;;Ir all?;;;;;;;;x,,,,,,
ATTACKTHEM_MAP;攻击开始;*;*;;*;;;;;;;;;x,,,,,,
ATTACKUS_SETUP;当我方陆军单位遭受到敌军攻击时;Lorsque l'une de nos unit閟 terrestres est attaqu閑 par l'ennemi.;Wenn eine unserer Landeinheiten vom Feind angegriffen wird;;Cuando una de nuestras unidades terrestres es atacada por el enemigo ;;;;;;;;;x,,,,,,
ATTACKUS_HEADER;$chief_of_staff$ 报告;$chief_of_staff$ signale que;$chief_of_staff$ berichtet:;;$chief_of_staff$ informa que;;;;;;;;;x,,,,,,
ATTACKUS_1;遭受攻击!;nos forces sont attaqu閑s !;Unsere Truppen werden angegriffen!;;st醤 atacando a nuestras fuerzas!;;;;;;;;;x,,,,,,
ATTACKUS_2;$MONARCHTITLE$，我们在以下地区遭到攻击;$MONARCHTITLE$, nous avons 閠?attaqu閟 dans la province;$MONARCHTITLE$, wir wurden angegriffen in;;$MONARCHTITLE$, hemos sido atacados en;;;;;;;;;x,,,,,
ATTACKUS_3;$PROV$.;$PROV$.;$PROV$.;;$PROV$.;;;;;;;;;x,,,,,,
ATTACKUS_4;$ATTACKER$的敌军开始和我军交战;Les forces ennemies de $ATTACKER$ ont engag?le combat avec nous et;Feindliche Truppen aus $ATTACKER$ griffen uns an mit;;Fuerzas hostiles de $ATTACKER$ han entablado combate con nosotros con;;;;;;;;;x,,,,,,
ATTACKUS_5;*;$ATTUNIT$\nattaquent\n$DEFUNIT$.;$ATTUNIT$\nattackiert\n$DEFUNIT$;;$ATTUNIT$\natacando a\n$DEFUNIT$;;;;;;;;;x,,,,,,
ATTACKUS_6;*;*;*;;*;;;;;;;;;x,,,,,,
ATTACKUS_LOG;我们在$PROV$遭到攻击。;Nous avons 閠?attaqu閟 dans la province $PROV$.;Wir wurden angegriffen in $PROV$.;;Hemos sido atacados en $PROV$.;;;;;;;;;x,,,,,,
ATTACKUS_BTN1;好的;OK;OK;;OK;;;;;;;;;x,,,,,,
ATTACKUS_BTN2;好的;OK;OK;;OK;;;;;;;;;x,,,,,,
ATTACKUS_BTN3;到达;Aller ?Goto;;Ir all?;;;;;;;;x,,,,,,
ATTACKUS_MAP;遭到攻击!;*;*;;*;;;;;;;;;x,,,,,,
NAVALATTACKTHEM_SETUP;当我方海军部队开始攻击敌军时;Lorsque l'une de nos marines attaque l'ennemi.;Wenn eine unserer Flotten den Feind angreift;;Cuando una de nuestras armadas ataca al enemigo;;;;;;;;;x,,,,,,
NAVALATTACKTHEM_HEADER;$chief_of_navy$报告;$chief_of_navy$ signale que;$chief_of_navy$ berichtet:;;$chief_of_navy$ informa de;;;;;;;;;x,,,,,,
NAVALATTACKTHEM_1;遭遇敌方舰队!;nous avons engag?le combat contre une marine ennemie !;Aufeinandertreffen mit feindlicher Flotte!;;emos entablado combate con una armada hostil!;;;;;;;;;x,,,,,,
