xxxx;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Interface;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
LIBERATE_COUNTRY;解放国家;Libirer le pays;Land befreien;;Liberar pams;;;;;;;;;x
CREATE_PUPPET;建立傀儡国;Crier un Itat fantoche;Marionettenstaat errichten;;Crear tmtere;;;;;;;;;x
POLITICAL_ORGANIZATION;组织度;Organisation;Organisation;;Organizacisn;;;;;;;;;x
POLITICAL_POPULARITY;支持率;Populariti;Beliebtheit;;Popularidad;;;;;;;;;x
RULING_IDEOLOGY;执政理念;Idiologie dominante;Vorherrschende Ideologie;;Ideologma de Gobierno;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Minister Positions;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
head_of_state;国家元首;Chef de l'Itat;Staatschef;;Jefe de Estado;;;;;;;;;x
head_of_government;政府首脑;Chef du gouvernement;Regierungschef;;Jefe de Gobierno;;;;;;;;;x
foreign_minister;外交部长;Ministre des affaires itranghres;Au_enminister;;Ministro Exteriores;;;;;;;;;x
armament_minister;军械部长;Ministre de la difense;Verteidigungsminister;;Ministro Defensa;;;;;;;;;x
minister_of_security;安全部长;Ministre de l'intirieur;Minister f|r innere Sicherheit;;Ministro Seguridad;;;;;;;;;x
minister_of_intelligence;情报部长;Chef des services secrets;Nachrichtendienstchef;;Jefe de Inteligencia;;;;;;;;;x
chief_of_staff;总参谋长;Chef d'itat-major;Generalstabschef;;Jefe Estado Mayor;;;;;;;;;x
chief_of_army;陆军总长;Chef de l'armie de terre;Armee-Oberfehlshaber;;Jefe del Ejircito de Tierra;;;;;;;;;x
chief_of_navy;海军总长;Chef de la marine;Marine-Oberfehlshaber;;Jefe de la Marina de Guerra;;;;;;;;;x
chief_of_air;空军总长;Chef de l'armie de l'air;Luftwaffenoberbefehlshaber;;Jefe de las Fuerzas Aireas;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ideologies;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
national_socialist;国家社会主义;National-socialiste;Nationalsozialist;;Nacionalsocialista;;;;;;;;;x
fascistic;法西斯主义;Fasciste;Faschist;;Fascista;;;;;;;;;x
paternal_autocrat;独裁主义;Autocrate paternaliste;Vdterlicher Alleinherrscher;;Autscrata paternalista;;;;;;;;;x
social_conservative;社会保守主义;Conservatrice;Sozialkonservativer;;Social conservador;;;;;;;;;x
market_liberal;贸易自由主义;Libirale;Marktliberaler;;Ultraliberal;;;;;;;;;x
social_liberal;社会自由主义;Sociale-libirale;Sozialliberaler;;Social liberal;;;;;;;;;x
social_democrat;社会民主主义;Sociale-dimocrate;Sozialdemokrat;;Socialdemscrata;;;;;;;;;x
left_wing_radical;左翼激进主义;Marxiste;Linksradikaler;;Izquierda radical;;;;;;;;;x
leninist;列宁主义;Lininiste;Leninist;;Leninista;;;;;;;;;x
stalinist;斯大林主义;Stalinienne;Stalinist;;Estalinista;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ministertypes;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
biased_intellectual;偏执知识份子;Intellectuel tendancieux;Beeinflusster Intellektueller;;Intelectual partidista;;;;;;;;;x
ideological_crusader;意识型态的十字军;Croisi idiologique;Ideologischer Kreuzritter;;Cruzado ideolsgico;;;;;;;;;x
apologetic_clerk;谦卑的公务员;Fonctionnaire navri;Zaghafter Angestellter ;;Funcionario indeciso;;;;;;;;;x
iron_fisted_brute;残忍的野兽;Brute ` poigne de fer;Eisenharter Rohling;;Bestia con puqo de hierro;;;;;;;;;x
great_compromiser;崇高的妥协者;As du compromis;Gro_er Kompromissler;;Gran conciliador;;;;;;;;;x
general_staffer;总参谋部幕僚;Priposi giniral;Generalstabsoffizier;;General de carrera;;;;;;;;;x
the_cloak_n_dagger_schemer;阴谋家;Conspirateur;Mantel-und-Degen-Intrigant;;Maquiavilico en la sombra;;;;;;;;;x
administrative_genius;行政天才;Bureaucrate de ginie;Verwaltungsgenie;;Genio de la gestisn;;;;;;;;;x
resource_industrialist;资源工业家;Industriel compulsif;Ressourcen-Industrialist;;Industrial de recursos;;;;;;;;;x
laissez_faires_capitalist;自由主义资本家;Capitaliste laxiste;Laissez-Faire-Kapitalist;;Capitalista libre mercado;;;;;;;;;x
theoretical_scientist;理论科学家;Scientifique abstrait;Theoretischer Wissenschaftler;;Cientmfico tesrico;;;;;;;;;x
military_entrepreneur;军工企业家;Entrepreneur militariste;Kriegsunternehmer;;Contratista militar;;;;;;;;;x
battle_fleet_proponent;舰队支持者;Adepte des navires;Schlachtflotten-Bef|rworter;;Partidario flota combate;;;;;;;;;x
submarine_proponent;潜艇支持者;Adepte des sous-marins;U-Boot-Bef|rworter;;Partidario submarinos;;;;;;;;;x
tank_proponent;坦克支持者;Adepte des blindis;Panzer-Bef|rworter;;Partidario tanques;;;;;;;;;x
infantry_proponent;步兵支持者;Adepte de l'infanterie;Infanterie-Bef|rworter;;Partidario infanterma;;;;;;;;;x
air_to_ground_proponent;空对地支持者;Adepte air-sol;Luft-Boden-Raketen-Bef|rworter;;Partidario aire-tierra;;;;;;;;;x
air_to_sea_proponent;空对海支持者;Adepte air-mer;Luft-See-Raketen-Bef|rworter;;Partidario aire-mar;;;;;;;;;x
strategic_air_proponent;战略空军支持者;Adepte des bombardiers;Strategische Kriegsf|hrung-Bef|rworter;;Partidario bombardeo estrat.;;;;;;;;;x
silent_lawyer;沉默的律师;Avocat discret;Schweigsamer Anwalt;;Ordenancista silencioso;;;;;;;;;x
compassionate_gentleman;慈悲的绅士;Philanthrope;Leidenschaftlicher Gentleman;;Caballero compasivo;;;;;;;;;x
crime_fighter;罪恶斗士;Adversaire du crime;Verbrechensbekdmpfer;;Luchador contra crimen;;;;;;;;;x
