xxxx;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Savegame transfers;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
SAVE_PROG;ÓÎÏ·½ø¶È£º$VALUE$ %;Progression de la sauvegarde : $VALUE$ %;Speicherfortschritt: $VALUE$ %;Postêp zapisu: $VALUE$ %;Guardado completado: $VALUE$ %;Salva progressi: $VALUE$ %;Mentés folyamaban: $VALUE$%;Uloit postup: $VALUE$ %;;;;;;x
TRANSERING_SAVE;½âÎöÓÎÏ·½ø¶ÈÖĞ¡­¡­;Début du transfert de la sauvegarde…;Spielstandtransfer eingeleitet ...;Rozpoczêto transfer zapisanej gry...;Inicio de transferencia de datos guardados...;Trasferimento del salvataggio avviato...;Mentésáttöltés folyamatban…;Zaèalo ukládání...;;;;;;x
LOADING_LOCAL_SAVE;¶ÁÈ¡ÓÎÏ·½ø¶ÈÖĞ¡­¡­;Chargement de la copie de sauvegarde locale…;Lokale Spielstandkopie wird geladen ...;Wczytujê kopiê zapisanej gry lokalnej...;Cargando copia local de datos guardados...;Caricamento copia salvataggio in locale in corso...;Helyi mentés betöltése…;Nahrávání místní uloené hry...;;;;;;x
PLR_DISC;Íæ¼Ò§Y$NAME$§WÀë¿ªÁËÓÎÏ·¡£;Le joueur §Y$NAME$§W a quitté la partie.;Spieler $NAME$ hat das Spiel verlassen.;Gracz $NAME$ opuœci³ grê.;El jugador §Y$NAME$§W ha abandonado el juego.;Il giocatore $NAME$ ha lasciato la partita.;$NAME$ elhagyta a játékot.;Hráè §Y$NAME$§W opustil hru.;;;;;;x
PLR_CONNECT;Íæ¼Ò§Y$NAME$§W¼ÓÈëÁËÓÎÏ·¡£;Le joueur Player §Y$NAME$§W a rejoint la partie.;Spieler $NAME$ ist dem Spiel beigetreten.;Gracz $NAME$ do³¹czy³ do gry.;El jugador §Y$NAME$§W se ha unido al juego.;Il giocatore $NAME$ partecipa alla partita.;$NAME$ csatlakozott a játékhoz.;Hráè §Y$NAME$§W se pøipojil ke høe.;;;;;;x
REVERT_SAVE_CAL;»Ö¸´Ä¬ÈÏÊı¾İ¡£;Retour à la base de données par défaut.;Standard-Datenbank wird eingesetzt.;Powrót do domyœlnej bazy danych.;Volviendo a la base de datos por defecto.;Ripristino del database predefinito.;Visszatérés az eredeti adatbázishoz…;Reverze na vıchozí databázi.;;;;;;x
SAVE_TRANSFER_DONE;ÓÎÏ·½ø¶È½âÎöÍê³É¡£;Transfert de sauvegarde terminé.;Spielstandtransfer beendet.;Dokonano transferu zapisanej gry.;Transferencia de datos guardados completada.;Trasferimento del salvataggio completato.;Mentésáttöltés kész.;Pøenos uloené hry ukonèen.;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Loading texts;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;¶ÁÈ¡µØÍ¼¡­¡­;Chargement des sprites de carte…;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando gráficos animados de mapas...;Caricamento Sprites mappa in corso...;Egységek betöltése…;Nahrávání zmenšenin na mapì...;;;;;;x
LOADING_GUI_DEF;¶ÁÈ¡Í¼ĞÎ½çÃæ¡­¡­;Chargement des définitions GUI…;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de IGU...;Caricamento definizioni GUI in corso...;GUI betöltése…;Nahrávání definic rozhraní...;;;;;;x
