REMOVE_PROVINCE_FUEL_EFFECT;在$PROVINCE$失去了$VALUE$燃料。\n;;;;;;;;;;;;;x
ADD_PROVINCE_FUEL_EFFECT;在$PROVINCE$获得了$VALUE$燃料。\n;;;;;;;;;;;;;x
ADD_FUEL_EFFECT;获得$VALUE$燃料。\n;;;;;;;;;;;;;x
REMOVE_FUEL_EFFECT;失去$VALUE$燃料。\n;;;;;;;;;;;;;x
ADD_OFFICERS_EFFECT;$COUNTRY$获得$VALUE$军官。\n;;;;;;;;;;;;;x
REMOVE_OFFICERS_EFFECT;$COUNTRY$失去$VALUE$军官。\n;;;;;;;;;;;;;x
EVTNAME524;丹麦向德国投降;;;;;;;;;;;;;x
EVTDESC524;当德国军队于1940年四月九日越过丹麦边境后，他们只受到了小规模的抵抗。面对德国对哥本哈根空袭的明确威胁，丹麦政府于当日投降。;;;;;;;;;;;;;x
EVTOPTA524;我们需要保护我们的首都！;;;;;;;;;;;;;x
EVTNAME525;南斯拉夫投降;;;;;;;;;;;;;x
EVTDESC525;当南斯拉夫摄政保罗王子于1941年三月二十五日宣布他将签署三国同盟条约并加入轴心国作战，南斯拉夫的反法西斯势力因此被激怒并于两日后策划了一场政变。希特勒将这次政变看作对他个人的侮辱并下定决心控制这个国家，尽管当时正处于巴巴罗沙计划的筹备阶段。不到两周后，1941年四月六日，德国、意大利以及匈牙利部队侵入了南斯拉夫。战役进行得很顺利，南斯拉夫于1941年四月十七日正式投降。;;;;;;;;;;;;;x
EVTOPTA525;或许我们可以通过其他方式抵抗法西斯;;;;;;;;;;;;;x
EVTNAME1750;安特卫普与布鲁塞尔陷落;;;;;;;;;;;;;x
EVTDESC1750;随着大多数城市被德国占领，比利时政府决定停止有组织的抵抗并组建流亡政府。;;;;;;;;;;;;;x
EVTOPTA1750;我们决不投降！;;;;;;;;;;;;;x
EVTNAME1751;阿姆斯特丹与鹿特丹陷落;;;;;;;;;;;;;x
EVTDESC1751;随着大多数城市被德国占领，荷兰政府决定停止有组织的抵抗并组建流亡政府。;;;;;;;;;;;;;x
EVTOPTA1751;我们决不投降！;;;;;;;;;;;;;x
EVTNAME2104;苏联工业转移至西伯利亚;;;;;;;;;;;;;x
EVTDESC2104;当德国展开突袭时，苏联的西线部队很快被击溃，而后红军的残余力量不得不尽快制定防御计划。苏联领导层决定红军必须延缓德国的进攻，并迫使敌军尽可能稀疏地展开。这样才能使下一年展开反击的行动成为可能。这同时也给了苏联时间以拆卸他们西线的重工业设备并将它们转移到西伯利亚以维系生产。;;;;;;;;;;;;;x
EVTOPTA2104;将它们留在那儿！;;;;;;;;;;;;;x
EVTOPTB2104;我们的工业基地受到了威胁！;;;;;;;;;;;;;x
EVTOPTC2104;需要大规模的转移;;;;;;;;;;;;;x
EVTOPTD2104;什么都不留下！;;;;;;;;;;;;;x
EVTNAME2910;巴黎陷落;;;;;;;;;;;;;x
EVTDESC2910;德国对巴黎的征服让大量法国将领对继续抵抗是否符合国家的最高利益产生了疑问。;;;;;;;;;;;;;x
EVTOPTA2910;或许现在是求和的时候了;;;;;;;;;;;;;x
EVTNAME1521;罗马尼亚提议加入轴心国;;;;;;;;;;;;;x
EVTDESC1521;随着苏联索取比萨拉比亚，罗马尼亚政府提议加入我们这边。;;;;;;;;;;;;;x
EVTOPTA1521;欢迎上船！;;;;;;;;;;;;;x
EVTOPTB1521;谁需要他们？;;;;;;;;;;;;;x
EVTDESC2911;随着法兰西重新控制了巴黎，现在是结束维希傀儡政权的时候了。;;;;;;;;;;;;;x
EVTNAME518;已经没有理由继续战斗了！;;;;;;;;;;;;;x
EVTDESC518;看起来我们低估了同盟国。现在我们已被击败并将重新加入自由法国。;;;;;;;;;;;;;x
EVTOPTA518;终于重聚了！;;;;;;;;;;;;;x
TECH_INVEST;$TECH$ $DIRECTION$ $VALUE$;;;;;;;;;;;;;x
disorganized_officer_corps;缺乏组织的军官团队;;;;;;;;;;;;;x
