xxxx;;;;;;;;;;;;;;x
OL_SHIPS;´¬Ö»;Navires;Schiffe;Okrêty;Barcos;Navi;Hajók;Lodi;;;;;;x,,
OL_TROOPS;²¿¶Ó;Troupes;Truppen;Wojsko;Tropas;Truppe;Szakaszok;Vojáci;;;;;;x,,
OL_COLONISTS_DESC;ÎÒÃÇµÄÒÆÃñÓÐ§Y$CHANCE$§W%µÄ»ú»á³É¹¦¡£¸ÃÖ³ÃñµØÏÖÔÚÓÐ§Y$NUM$§WÒÆÃñÒÔ¼°§Y$NATIVES$§WÔ­×¡Ãñ¡£;Nos colons ont §Y$CHANCE$§W% de chance de réussir. §Y$NUM$§W colons et §Y$NATIVES$§W indigènes vivent actuellement dans cette colonie.;Unsere Kolonisten haben §Y$CHANCE$§W% Erfolgschance. In der Kolonie leben momentan §Y$NUM$§W Kolonisten und §Y$NATIVES$§W Eingeborene.;Nasz kolonista ma §Y$CHANCE$§W% szans powodzenia. Aktualnie kolonia liczy sobie §Y$NUM$§W kolonistów. ¯yje tam §Y$NATIVES$§W tubylców.;Nuestro colono tiene una probabilidad de éxito del §Y$CHANCE$§W%. La colonia cuenta actualmente con §Y$NUM$§W colonos y §Y$NATIVES$§W nativos.;I nostri coloni hanno: §Y$CHANCE$§W% di probabilità di successo. Nella colonia al momento sono presenti §Y$NUM$§W coloni e §Y$NATIVES$§W nativi.;Gyarmatosítóinknak §Y$CHANCE$§W% esélyük van a sikerre. A gyarmaton jelenleg §Y$NUM$§W gyarmatosító és §Y$NATIVES$§W õslakos él.;Náš kolonista má §Y$CHANCE$§W% šanci na úspìch. V kolonii nyní žije §Y$NUM$§W kolonistù a §Y$NATIVES$§W domorodcù.;;;;;;x,,
OL_NONE;ÎÞ;non;keine;nie;no;nessuno;nem;ne;;;;;;x,,
OL_ARMY;¸Ã¼¯ÍÅ¾üÎ»ÓÚ§Y$PROV$§W£¬$COMMANDER$¡£;Actuellement, cette armée $COMMANDER$ et se situe dans la province §Y$PROV$§W.;Diese Armee steht derzeit unter dem Befehl von $COMMANDER$ und befindet sich in §Y$PROV$§W.;Dowództwo: $COMMANDER$. Stacjonuje ona w prowincji §Y$PROV$§W.;Este ejército $COMMANDER$ actualmente y se encuentra en §Y$PROV$§W.;Questo esercito al momento $COMMANDER$ e si trova in §Y$PROV$§W.;Ez a hadsereg jelenleg $COMMANDER$ és $PROV$ tartományban állomásozik.;Této armádì velí $COMMANDER$ a nachází se v §Y$PROV$§W.;;;;;;x
OL_NOCOMMANDER;Ã»ÓÐÖ¸»Ó¹Ù;n'a pas de commandant;hat keinen Kommandeur;brak dowódcy;no tiene general;non ha un comandante;parancsnok nélküli;nemá velitele;;;;;;x,,
OL_COMMANDER;ÓÉ$COMMANDER$Ö¸»Ó;est sous le commandement de $COMMANDER$;steht unter dem Befehl von $COMMANDER$;$COMMANDER$;está bajo el mando de $COMMANDER$;è al comando di $COMMANDER$;$COMMANDER$ irányítása alatt áll;je pod velením $COMMANDER$;;;;;;x,,
OL_ARMY_MOVE;ËüÕýÏò§Y$DEST$§WÇ°½ø¡£;Elle se déplace vers : §Y$DEST$§W.;Sie marschiert Richtung §Y$DEST$§W.;Zmierza w kierunku §Y$DEST$§W.;se está desplazando hacia §Y$DEST$§W.;Si sta dirigendo verso §Y$DEST$§W.;Úton $DEST$ felé.;Smìøuje do §Y$DEST$§W.;;;;;;x,,
OL_NAVY;¸Ã½¢¶ÓÎ»ÓÚ§Y$PROV$§W£¬$COMMANDER$¡£;Actuellement, cette marine $COMMANDER$ et se situe dans la province §Y$PROV$§W.;Diese Flotte steht derzeit unter dem Befehl von $COMMANDER$ und liegt in §Y$PROV$§W.;Dowództwo: $COMMANDER$. Znajduje siê ona w prowincji §Y$PROV$§W.;Esta armada $COMMANDER$ actualmente y se encuentra en §Y$PROV$§W.;Questa flotta al momento $COMMANDER$ e si trova in §Y$PROV$§W.;A flotta jelenleg $COMMANDER$ és $PROV$ tartományban állomásozik.;Této námoøní armádì velí $COMMANDER$ a nachází se v §Y$PROV$§W.;;;;;;x
OL_NAVY_MOVE;ËüÕýº½Ïò§Y$DEST$§W§W.;Elle navigue vers : §Y$DEST$§W.;Sie hat Segel gen §Y$DEST$§W gesetzt.;Wyruszy³ w kierunku §Y$DEST$§W.;Ha zarpado hacia §Y$DEST$§W.;Si sta dirigendo verso §Y$DEST$§W.;$DEST$ felé hajózik.;Pluje do §Y$DEST$§W.;;;;;;x,,
