As Reseves;预备役;En r閟erve;Als Reserven;;;;;;;;;;;x
Add Cags;添加舰载机;Ajouter des groupes de porte-avions;Tr鋑ergeschwader hinzuf黦en;;;;;;;;;;;x
DIPRELCH_DEPENDENCY;傀儡-宗主关系;Relations Fantoche-Ma顃re;Beziehung Marionette-Herr;;;;;;;;;;;x
RELATION_CAPPED;不能进一步改善此关系.;Impossibilit?de d閜asser cette relation avec des am閘iorations graduelles.;Diese Beziehung kann auch mit allm鋒lichen Verbesserungen nicht weiter gebracht werden.;;;;;;;;;;;x
STOPALIGNTITLE;停止靠向某阵营;Arr阾er de s抋ligner sur la faction;Ausrichtung an Fraktion stoppen;;;;;;;;;;;x
STOPALIGNNEWDESC;你是否希望停止靠向 $RECIPIENT$ ?;Voulez-vous arr阾er de vous aligner sur $RECIPIENT$ ?;M鯿hten Sie die Ausrichtung an $RECIPIENT$ stoppen?;;;;;;;;;;;x
STOPALIGNDESC;停止靠向某阵营。;Arr阾er de s抋ligner sur la faction.;Ausrichtung an Fraktion stoppen.;;;;;;;;;;;x
WEALIGNSTOP_SETUP;当我们停止靠向一个阵营的领导;Quand nous arr阾ons de nous aligner sur le leader d抲ne faction;Wenn wir die Ausrichtung an einen Fraktionsf黨rer stoppen;;;;;;;;;;;x
WEALIGNSTOP_HEADER;$foreign_minister$ 报告;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;;;;;;;;;;x
WEALIGNSTOP_1;外交影响;Influence diplomatique;Diplomatischer Einfluss;;;;;;;;;;;x
WEALIGNSTOP_2;$MONARCHTITLE$ ，我们;$MONARCHTITLE$, nous avons arr阾?$MONARCHTITLE$, wir haben unsere;;;;;;;;;;;x
WEALIGNSTOP_3;停止了;de nous aligner;Ausrichtung;;;;;;;;;;;x
WEALIGNSTOP_4;靠向;sur;an;;;;;;;;;;;x
WEALIGNSTOP_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ gestoppt;;;;;;;;;;;x
WEALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
WEALIGNSTOP_LOG;我们停止了靠向 $RECIPIENT$ ;Nous avons arr阾?de nous aligner sur $RECIPIENT$;Wir haben unsere Ausrichtung an $RECIPIENT$ gestoppt;;;;;;;;;;;x
WEALIGNSTOP_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
WEALIGNSTOP_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
WEALIGNSTOP_BTN3;查看;Aller ?GOTO;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x,
WEALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x,
OTHERALIGNSTOP_SETUP;当一个国家停止靠向另一个阵营;Quand une nation arr阾e de s抋ligner sur une autre faction.;Wenn eine Nation ihre Ausrichtung an einer anderen Fraktion stoppt.;;;;;;;;;;;x
OTHERALIGNSTOP_HEADER;$minister_of_intelligence$ 报告;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa de;;;;;;;;;x,
OTHERALIGNSTOP_1;外交阵营;Alignement diplomatique;Diplomatische Ausrichtung;;;;;;;;;;;x
OTHERALIGNSTOP_2;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ a arr阾?$MONARCHTITLE$, $ACTOR$ stoppte;;;;;;;;;;;x
OTHERALIGNSTOP_3;停止了;de s抋ligner;die Ausrichtung;;;;;;;;;;;x
OTHERALIGNSTOP_4;靠向;sur;an;;;;;;;;;;;x
OTHERALIGNSTOP_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;;;;;;x
OTHERALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
OTHERALIGNSTOP_LOG;$ACTOR$ 停止了靠向 $RECIPIENT$ 。;$ACTOR$ a arr阾?de s抋ligner sur $RECIPIENT$.;$ACTOR$ stoppte die Ausrichtung an $RECIPIENT$.;;;;;;;;;;;x
OTHERALIGNSTOP_BTN1;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
OTHERALIGNSTOP_BTN2;好的;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
OTHERALIGNSTOP_BTN3;查看;Aller ?Goto;Id?do;Ir all?Andare;Ugr醩;P鴈j韙 na;;;;;;x,
OTHERALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x,
