light_cruiser.0 = {                 #
    lightcruiser_armament = 0       #
    lightcruiser_antiaircraft = 0   #
    lightcruiser_engine = 0         #
    lightcruiser_armour = 0         #
    smallwarship_radar = 0          #
    smallwarship_asw = 0            #
    light_cruiser_escort_role = 0   #
    light_cruiser_crew_training = 0 #
    spotting = 0                    #
}
light_cruiser.1 = {                 #1918
    lightcruiser_armament = 1       #1918
    lightcruiser_antiaircraft = 1   #1918
    lightcruiser_engine = 1         #1918
    lightcruiser_armour = 1         #1918
    smallwarship_radar = 0          #
    smallwarship_asw = 0            #
    light_cruiser_escort_role = 0   #
    light_cruiser_crew_training = 0 #
    spotting = 0                    #
}
light_cruiser.2 = {                 #1934
    lightcruiser_armament = 2       #1934
    lightcruiser_antiaircraft = 2   #1934
    lightcruiser_engine = 2         #1934
    lightcruiser_armour = 2         #1934
    smallwarship_radar = 0          #
    smallwarship_asw = 0            #
    light_cruiser_escort_role = 0   #
    light_cruiser_crew_training = 0 #
    spotting = 0                    #
}
light_cruiser.3 = {                 #1936
    lightcruiser_armament = 3       #1936
    lightcruiser_antiaircraft = 3   #1936
    lightcruiser_engine = 3         #1936
    lightcruiser_armour = 3         #1936
    smallwarship_radar = 0          #
    smallwarship_asw = 0            #
    light_cruiser_escort_role = 0   #
    light_cruiser_crew_training = 0 #
    spotting = 0                    #
}
light_cruiser.4 = {                 #1937
    lightcruiser_armament = 3       #1936
    lightcruiser_antiaircraft = 3   #1936
    lightcruiser_engine = 3         #1936
    lightcruiser_armour = 3         #1936
    smallwarship_radar = 0          #
    smallwarship_asw = 0            #
    light_cruiser_escort_role = 1   #1937
    light_cruiser_crew_training = 1 #1937
    spotting = 1                    #1937
}
light_cruiser.5 = {                 #1938
    lightcruiser_armament = 4       #1938
    lightcruiser_antiaircraft = 4   #1938
    lightcruiser_engine = 4         #1938
    lightcruiser_armour = 4         #1938
    smallwarship_radar = 0          #1938
    smallwarship_asw = 1            #1938
    light_cruiser_escort_role = 1   #1937
    light_cruiser_crew_training = 1 #1937
    spotting = 1                    #1937
}
light_cruiser.6 = {                 #1939
    lightcruiser_armament = 4       #1938
    lightcruiser_antiaircraft = 4   #1938
    lightcruiser_engine = 4         #1938
    lightcruiser_armour = 4         #1938
    smallwarship_radar = 1          #1938
    smallwarship_asw = 1            #1938
    light_cruiser_escort_role = 2   #1939
    light_cruiser_crew_training = 2 #1939
    spotting = 2                    #1939
}
light_cruiser.7 = {                 #1940
    lightcruiser_armament = 5       #1940
    lightcruiser_antiaircraft = 5   #1940
    lightcruiser_engine = 5         #1940
    lightcruiser_armour = 5         #1940
    smallwarship_radar = 2          #1940
    smallwarship_asw = 2            #1940
    light_cruiser_escort_role = 2   #1939
    light_cruiser_crew_training = 2 #1939
    spotting = 2                    #1939
}
light_cruiser.8 = {                 #1941
    lightcruiser_armament = 5       #1940
    lightcruiser_antiaircraft = 5   #1940
    lightcruiser_engine = 5         #1940
    lightcruiser_armour = 5         #1940
    smallwarship_radar = 2          #1940
    smallwarship_asw = 2            #1940
    light_cruiser_escort_role = 3   #1941
    light_cruiser_crew_training = 3 #1941
    spotting = 3                    #1941
}
light_cruiser.9 = {                 #1942
    lightcruiser_armament = 6       #1942
    lightcruiser_antiaircraft = 6   #1942
    lightcruiser_engine = 6         #1942
    lightcruiser_armour = 6         #1942
    smallwarship_radar = 3          #1942
    smallwarship_asw = 3            #1942
    light_cruiser_escort_role = 3   #1941
    light_cruiser_crew_training = 3 #1941
    spotting = 3                    #1941
}
light_cruiser.10 = {                #1943
    lightcruiser_armament = 6       #1942
    lightcruiser_antiaircraft = 6   #1942
    lightcruiser_engine = 6         #1942
    lightcruiser_armour = 6         #1942
    smallwarship_radar = 3          #1942
    smallwarship_asw = 3            #1942
    light_cruiser_escort_role = 4   #1943
    light_cruiser_crew_training = 4 #1943
    spotting = 4                    #1943
}
light_cruiser.11 = {                #1944
    lightcruiser_armament = 7       #1944
    lightcruiser_antiaircraft = 7   #1944
    lightcruiser_engine = 7         #1944
    lightcruiser_armour = 7         #1944
    smallwarship_radar = 4          #1944
    smallwarship_asw = 4            #1944
    light_cruiser_escort_role = 4   #1943
    light_cruiser_crew_training = 4 #1943
    spotting = 4                    #1943
}
light_cruiser.12 = {                #1945
    lightcruiser_armament = 7       #1944
    lightcruiser_antiaircraft = 7   #1944
    lightcruiser_engine = 7         #1944
    lightcruiser_armour = 7         #1944
    smallwarship_radar = 4          #1944
    smallwarship_asw = 4            #1944
    light_cruiser_escort_role = 5   #1945
    light_cruiser_crew_training = 5 #1945
    spotting = 5                    #1945
}
light_cruiser.13 = {                #1946
    lightcruiser_armament = 8       #1946
    lightcruiser_antiaircraft = 8   #1946
    lightcruiser_engine = 8         #1946
    lightcruiser_armour = 8         #1946
    smallwarship_radar = 5          #1946
    smallwarship_asw = 5            #1946
    light_cruiser_escort_role = 5   #1945
    light_cruiser_crew_training = 5 #1945
    spotting = 5                    #1945
}
light_cruiser.14 = {                #1947
    lightcruiser_armament = 8       #1946
    lightcruiser_antiaircraft = 8   #1946
    lightcruiser_engine = 8         #1946
    lightcruiser_armour = 8         #1946
    smallwarship_radar = 5          #1946
    smallwarship_asw = 5            #1946
    light_cruiser_escort_role = 6   #1947
    light_cruiser_crew_training = 6 #1947
    spotting = 6                    #1947
}
light_cruiser.15 = {                #1948
